	S1	S2	S3	S4	S5	S6	S7	S8	S9	S10	S11	S12	S13	S14	S15	S16	S17	S18	S19
ARHGAP32	0.0019764217520951213	0.0011058358820153261	0.00502071844308671	0.0014225161673683225	0.003181829319752799	0.0012659552530845386	0.0018256908590685722	0.001404593327886621	1.2064189427495357e-05	0.001082081033377186	0.0007377439591768013	0.0	0.0022663514706401594	0.003171473838767022	0.0006767485496642571	0.0004733998849128413	0.0017589983612076915	0.0003250487740492303	0.0023365746277611565
RAD51AP1	0.0032878372026292307	0.0010042103864669534	0.0002190936852084552	0.003568161652455465	0.0020382330084466834	0.0013416194944388244	0.0	0.00034073460531295013	0.0014104261101472097	0.0	0.0003748642634133888	0.0033130486489812375	0.0030147135352312834	0.002811367020218481	0.002400099681471273	0.0016408651136531882	0.0007026508888683549	0.0009221266995712705	0.002993938673411564
NTF3	0.0006503276906175982	0.0007635595236586098	0.003844077342361706	0.0003534346255304271	0.001246227622011711	0.0	0.003776962788253665	0.0014110594908496115	0.003284733324340594	0.002271188873798802	0.0011453770856879072	0.0018814547956103422	0.0011747745221161942	0.0022794993916474783	4.805119467980884e-05	0.0003748551157843195	0.002759264882617988	0.0024461656138692533	0.003381565605161563
KLRC3	0.0017587032778259573	0.0	0.0025534849015225376	0.0	0.0	0.0024796292508161176	0.00334518382955435	0.0033376278704266614	0.0007464533064756826	0.0026204372718118684	0.0	0.007141267438126119	0.0	0.0	0.0018044778041536173	0.001062661671876162	0.0019259616325701836	0.0018760960726724593	0.002166929337455816
TAS2R30	0.0015709671825507344	0.003099484212793334	0.0009201056539782065	0.0017784677766742015	0.000984012296517078	0.0	0.00024768421336932435	0.005383475306941339	0.001295516231886182	0.002662579951302877	0.0017108338529048463	0.0	0.0	0.0013652463383198186	0.0012800175421823169	0.0	0.002417647233983318	0.0037792724705734727	0.004564178033722524
GSG1	0.003688308668620938	0.001605564967933938	0.0006575892128848041	0.0008040386526465471	0.00045964027720588535	0.002450362392069678	0.00458977085139467	0.0	0.0018722055701054941	0.0	0.00043510893202981424	0.0029649351194267863	0.0028897483010911097	0.0028612614200462616	9.969591979004385e-05	0.001364165346469215	0.0028977588437258898	0.0008531613433188919	0.0
SPX	0.0021050428168412102	0.0014911121393472793	0.00109712734374196	0.0032201115808833686	0.001349256143623051	0.0035301613296825833	0.0007114848835660787	0.001102435273728577	0.0002003072168123414	0.00014269258534667763	0.0019427321362296662	0.0	0.004484608547243459	0.0006841637343845176	0.0012733910762741825	0.0	0.003738894388581401	0.002522928179038687	0.0016423275872591483
GYS2	0.0016030791786960281	0.00207240823981574	0.0	0.001169214257816134	0.0029909663296191994	0.0	0.00024384036194975172	0.003541442152253033	0.0023369872708362376	0.0019153663769138282	0.0023221218320914248	0.003268256041413081	0.0	0.0014245083109943539	0.0002582941642638272	0.0004927799781802027	0.004500370414245771	0.002841914644547533	0.001713361037925872
REP15	0.0	0.0	0.002841364618662254	0.0	0.0	0.0012604426767573614	0.004758263733389497	0.0004835638161301538	0.002762110978762445	0.004909257470196697	0.0026233581200934305	0.004515612889163734	0.0	0.001902829125418933	0.00022013124083767777	0.0010893300023752737	0.001132976585738286	0.0038362362510995437	0.001435020589228294
GXYLT1	0.001495060013460246	0.00013663273494176088	0.0034527615647313935	0.0007443303364140424	0.002092538198847636	0.0008456353481530637	0.002703192816175756	0.001516963655936719	0.0023653093014523517	0.003910284065024864	0.0012666644808541272	0.0029109625472911924	0.00042551785357261795	0.001645182272283192	1.0643023790625262e-05	0.0	0.0005169213367842446	0.004176988781349686	0.0015308511230426151
TWF1	0.0029776349637651417	0.002261656368993176	0.0	0.0018552411597473736	0.00015086243339931815	0.002646853126733576	0.0012147320420919992	0.0	0.002567500573463959	0.0	0.0015813836799598183	0.003952189180067421	0.002539104080861247	0.0024474643022871444	0.002325376734886049	0.0	0.0012974973891932689	0.0014924406041833187	0.0022401048689663014
SCAF11	0.0008818371456313094	0.00029322291680711915	0.004444568679703046	0.0013581971789325099	0.0020873668509350037	0.001926623889815561	0.004499024197497348	0.0	0.0004365661444108868	0.0001479916524801931	0.002765679405555179	0.0015632561116263096	0.0005095293581744309	0.0	0.001606867243270899	0.00469766430326182	0.0	0.0016933462535652622	0.0029189246187661224
FAM186A	0.0014922053599076143	0.0016936465467591677	0.0014244804111383466	0.003704815379211535	0.0	0.004260700874102336	0.00017210873473608412	0.003165964344236385	0.0004760471936320408	0.0005579642905206896	0.00013297607335176648	0.0011824970413694385	0.0024189528648266337	0.0024167143403504843	0.002803735493301538	0.0006200182101184728	0.0034831588818303723	0.0005556101689112691	0.0
PRR13	0.0020994520967187054	0.002558361614735116	0.0003152677185653715	0.0	0.003637044136074726	0.0	0.0012040541051504925	0.002405440063295755	0.0015692615976545185	0.0	0.0010259196459733975	0.003462418539678164	1.73922413679197e-05	0.0008093289456140526	0.002122463051479585	0.0032648661704841224	0.005042242582500474	0.00198848793939579	0.0006029676007151594
CALCOCO1	0.002255835539750831	0.003413444354123939	0.0	0.003341481982187228	0.002300557179169005	0.0	0.0011726794030440153	0.0	0.000773774261144277	0.0006115975841165192	0.0008814448988520424	0.0033187996217042366	0.0016289239061937476	0.002062927837148419	0.0032306951618373903	0.001395054140682402	0.002839138797285671	0.0008107640358157573	0.0005185569014919825
STAT6	0.0029428742769752048	0.002990418016269028	0.0	0.0015470836089225175	0.0029381152914009345	0.0011372741482430738	0.0008248609821887251	0.0020600178100969226	0.0017723318052871872	0.002310839135530089	0.003177739232453585	0.0011976899548043775	0.0007071796284543247	0.001263086180302519	0.0015574434270562158	0.0	0.0011107608061591977	0.0023543522923894044	0.0
NXPH4	0.00385036803521831	0.0023071860661166084	0.0004511046962267401	0.0022903025320177785	0.002081848104074459	0.0001598845550977392	0.0011899939953066592	0.0008767957835602171	0.0038245522317160415	0.0018597193356581637	0.0014982024565026745	0.000389325004301185	0.0019295501035076288	0.00246904289925799	0.0	2.577582439618404e-05	0.0031389518235442927	0.00023595241810632364	0.0014388549621008435
INHBE	0.0027005079561249496	0.002161123622683414	0.0003751667164791498	0.0016126945954604342	0.000505810147507236	2.3960300508114126e-06	0.0	0.0031013703466087946	0.005721498764779851	0.0016858876791895007	0.0	0.0012838776296632468	0.0018908718098938962	0.0025400591776251684	0.0006682048874105819	0.0	0.0034267042723125723	0.0011035414648844974	0.003925799078337793
DCTN2	0.0	0.000527593565034811	0.003640044642179247	0.0008786511340198518	0.0034273654506373364	0.0021202824871410053	0.00038730838023691693	0.001719925136389366	0.0014006542051184976	0.003136565829541162	0.0037390058622124938	0.0032911942194730434	0.000584826850920731	0.0020707143525701176	0.0008215739224612332	0.00021698299539286812	0.0014785210120482237	0.0011252244600450372	0.0008446017894675162
EEF1AKMT3	0.0	0.0	0.004493647506545517	0.0023124320533854823	0.0017672940991628723	0.0019277499777893526	0.001028298971602338	0.00039366002709636524	0.000820932820892703	0.004172009809076702	0.0	0.0	0.0030215501480297547	0.0015569517367222776	0.0	0.0032993756256399333	0.003560085530375659	0.0027194621431040266	0.001623454893440003
