	S1	S2	S3	S4	S5	S6	S7	S8	S9	S10	S11	S12	S13	S14	S15	S16	S17	S18	S19	S20	S21	S22	S23	S24	S25	S26	S27	S28	S29	S30	S31	S32	S33	S34	S35	S36	S37	S38	S39	S40	S41	S42	S43	S44	S45	S46
TIGAR	0.0	0.00020786465023646592	0.0	0.011185857181453636	0.002859554050747276	0.0	0.0	0.0015546222087382917	0.0003624260881628071	0.00027887518028483127	0.0	0.0	0.0	0.0	0.010680552473641924	0.0005056215776681558	0.0017044321777065674	0.0	0.016812840831962036	0.0020468397964235234	0.0004844016545372652	0.0	0.0	0.0	0.0	0.0030722636853670673	0.0	0.0	0.0	0.0017129191299401993	0.0	0.0019767743245344043	0.0	0.0075902442669610794	0.002344998886931168	0.0025973482929799903	0.001762955734963386	0.00273319865021303	0.0	0.0	0.0	0.0009386688462356949	0.003295097394131603	0.0	0.0	0.0034591935093813025
MLF2	0.005271368353842548	0.0	0.0	0.0	0.0	0.005617222213322928	0.007393091188615953	0.0	0.0	0.0	0.005079607810935442	0.0002784577710366743	0.0008257110134770837	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0031102056406113326	0.0	0.0	0.012154240509215968	0.0	0.0	0.0	0.006267392266991935	0.0	0.0	5.177576095860592e-06	0.008607345191434962	0.0	0.002656515233756554	0.0031974513858833782	0.0	0.006740973959607577	0.006151722183709244	0.005050438161373493	0.0	0.0	0.0	0.003348202635924551	0.0
PTMS	0.006221941095851153	0.0	0.0	0.004454294597229662	0.0	0.0042769369252854215	0.0	0.0	0.0024551231390910733	0.0	0.0020341084110882686	0.0	0.0	0.011194899235840888	0.0	0.0	0.0	0.003675669939635862	0.0	0.0	0.0	0.0	0.00010547789660606196	0.0	0.0	0.0	0.0	0.0041645877180105486	0.0	0.0006730458128855685	0.0	0.0	0.006229236321205089	0.0031871910811816697	0.0029268522414805957	0.0	0.0026334656957144307	0.008221176396047181	0.0	0.0	0.007214215506788187	0.008230894622153187	0.0	0.0	0.003368107972801409	0.0008235875069926152
KLRC3	0.0	0.0	0.004992359625108675	0.010407948379001199	0.003573796228804395	0.0	0.0	0.002493919095101664	0.0	0.0	0.008096946717295902	0.0001400840148191497	0.004012819039163826	0.0068147236254607595	0.0	0.0	0.0	0.0011541697182747253	0.0	0.003983298636287245	0.0	0.000950152839409168	0.0	0.0022179786389897394	0.0032391324220089955	0.0	0.0007498866277857203	0.0	0.0	0.0	0.0	0.0011406985415329202	0.0	0.0	0.0005272306388079812	0.0	0.0	0.0	0.004987993047062709	0.0007151453784691318	0.0	0.0	0.0032971163349917562	0.0	0.0	0.01716956920204239
MAGOHB	0.0	0.002797831910249321	0.0033452329119325382	0.0	0.0	0.0	0.0025848425024924027	0.0008306860412686294	0.007149268393191255	0.000282208962446025	0.0	0.0002575646501731415	0.0	0.0	0.007432866657734263	0.004062092369934203	0.008630772972597843	0.0	0.006799659944647179	0.0031097763907947185	0.001373328739223327	0.0011371950799036502	0.0	0.0	0.0	0.0	0.008694873617432026	0.006212446699201835	0.002612609667444976	0.0	0.0015049115306709116	0.0	0.0016402058549231675	0.0	0.0	0.0026747924427598345	2.5278093247180018e-05	0.0	0.004557886953117074	0.0010291621786343368	0.0	0.0	0.0	0.0017987613263526399	0.0	0.0
ERP27	0.0	0.005210707978901018	0.0022994188164444165	0.0	0.0	0.0	0.005370679365246233	0.0	0.0	0.0	0.0	0.0	0.0012505299572695386	0.0	0.0031105100987997556	0.0	0.004954890787667125	0.0	0.0005428292668046709	0.0030979229422728126	0.006401685511997932	0.0	0.0009820905613450927	0.006532751250538588	0.0	0.0	0.009414529948091398	0.0	0.0	0.0	0.0	0.0016327906976263092	0.0	0.00102101969596314	0.0	0.0032215328989416503	0.0	0.0	0.0	0.0	0.012035294592350263	0.0015702269394988232	0.0013700506613632598	0.0007024762791029795	0.007315608212944059	0.0038589683979604085
SLCO1B1	0.0	0.0	0.003906503295180353	0.009500265277486373	0.003431836333994419	0.00593562529522767	0.0	0.009630947669137574	0.0	0.0	0.0	0.0	0.0	0.00018184347316510484	0.004624281654037208	0.0	0.0	0.0021661519733137432	0.0	0.0	0.0	0.0	0.003249035913156796	0.0013344170506029817	0.0	0.0	0.008044844114974687	0.0	0.00240770540907376	0.005291631230057865	0.00013040020835560618	0.00710961806576941	0.0	0.001680300856948639	0.0	0.0	0.0	0.0	0.0	0.008432628826448144	0.00019274724850740246	0.0	0.0	0.0	0.0020006604791111466	0.0007805657524567898
GYS2	2.893683116547098e-05	0.0	0.0021155101151765035	0.011739493964006947	0.0	0.0030260453362532967	0.0019266143643792465	0.0	0.0	0.007303310716505152	0.0013686264800045855	0.0	0.0037336023374105543	0.0005603057257387952	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0007150207134786588	0.0	0.0033885318720712973	0.0001155850910145328	0.0	0.0	0.00016130942224091928	0.0029397546452198525	0.005191188191430208	0.0014395649429439596	0.0	0.0	0.010333065415056108	0.0	0.0	0.006490722342659945	0.0	0.003750208724560162	0.0	0.0	0.005694078261434721	0.0	0.002780126861737604	0.007142244996480708
MRPS35	0.0	0.0028205573594287025	0.00033046537844597557	0.0	0.0009079186091420548	0.0	0.0012388386900445984	0.003227985084415308	0.0017013409792135785	0.0008782603535826088	0.0	0.0029308327921265752	0.0	0.0	0.0	0.008204339752497554	0.008107379675539232	0.0	0.006711429231563164	0.004779293310252302	0.0	0.002931067197690555	0.0	0.0	0.0	0.0	0.004032636143641788	0.0	0.005408960670935957	0.0	0.0	0.00019303835319636457	0.0	0.0	0.0	0.008476007288573074	0.0	0.0	0.00226556550257086	0.0	0.0	0.010011480639551098	0.0	0.005597464103906396	0.0006664423436818415	0.0
CPNE8	0.0	0.0	0.0	0.0007779698798698586	0.0	0.0013365887627096503	0.0	0.0	0.001235765803959863	3.667577729149593e-05	0.0006551805856830974	0.0	0.004100660488638738	0.01248590355945405	0.0	0.0	0.0	0.007343392992525982	0.0	0.0	0.0023327452610740255	0.0006719496641308611	0.003242718735377297	0.0016340005552696229	0.0	0.009571192509681067	0.0013839353752516236	0.0007652493826837897	0.0	0.0	0.00010893789967525476	0.0	0.0	0.0	0.0008856781619178809	0.0019446059207591548	0.0036226622783140624	0.004125970614707869	0.00015156612920676682	0.004917225021000978	0.011258347264136414	0.0007385341837012191	0.0032369113805067336	0.0	0.0	0.003138015765490039
SMARCD1	0.0012614262388456208	0.0	0.0	0.0034226447375820188	0.0	0.0023031828882631843	0.0	0.002518742838914525	0.004404185704991813	0.0	0.0	0.0051797507499178035	0.0	2.3060222448223185e-05	0.0035568569834176335	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0033708371172880306	0.0	0.0	0.0	0.011907083689574202	0.0	0.0060538247786597965	0.0	0.0	0.0	0.00315268159481173	0.011371560644635943	0.00017189676319200636	0.0	0.00666241478247971	0.0	0.0020950336505178428	0.0008062990339007351	0.0	0.0	0.005553576114258748	0.0	0.0	0.008019789294908234
DIP2B	0.0	0.0	0.0	0.001388155443528169	0.0047387689101493395	0.0	0.0	0.0	0.0	0.0	0.0	0.003272162047286661	0.0	0.004495586049634823	0.0	0.0	0.001820450452542793	0.0	0.010797033310432823	0.00601707992439052	0.0006021523003845341	0.005166716074104408	0.0014915265023001912	0.0007124408510236762	3.691701383078229e-05	0.0	0.0005377575075750086	0.005790643701983643	0.0	0.0	0.0	0.008806196929450626	0.0	0.0	0.0	0.010220863534600883	0.0	0.0	0.002480185031784578	0.0022502469477200544	0.0024713989425649927	0.005501796098528279	0.0017850807368415197	0.0	0.0011107005432088547	0.0
TARBP2	0.0	0.0011307635126426773	0.003248772737205634	0.0	0.0	0.011527746922919052	0.008284967989695136	0.0	0.0030753008987755167	0.0035574044244692563	0.003748526237268394	0.0	0.003631940736099567	0.0	0.0	0.0008227671345591354	0.0	0.0	0.0	0.0	0.0	0.0	0.0024714125927451547	0.0	0.0	0.0062019165878749935	0.0	0.0	0.0	0.0029026028239558465	0.002908188995980023	0.0	0.0029595340903845325	0.0	0.010322234096968887	0.0	0.0050255294849551714	0.006300684114897095	0.0	0.000746469088590085	0.0	0.0	0.0	0.0010887916244722653	0.0	0.0
ATF7	0.007380043952061494	0.0006249428730215891	0.003524195071907535	0.0028167618090448295	0.0	0.008713563402440611	0.0	0.0037112624508680524	0.0	0.0	0.006217734455984088	0.0	0.0024248189005754155	0.0	0.0	0.0	0.0	0.0003483729651501408	0.0	0.0007235730668818057	0.000290551007481686	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0015573511366683485	0.0	0.0	0.0037046009441743166	0.003817138941701607	0.012448549473036833	0.0	0.004658053805932539	0.0	0.0	0.004526356854359876	0.00480260942289862	0.0	0.002104077189725602	0.00020378624896867618	0.0006820612955422724	0.005036701215675005
MMP19	0.0	0.006070583630706392	0.0	0.0	0.0	0.0	0.0009044813219654264	0.0	0.0	0.0	6.106100723628938e-05	0.003128823853960067	0.013908521382078912	0.0	0.0	0.0	0.0	0.0021936084197646775	0.0	7.23264539739893e-05	0.004889034312782716	0.0007764143681821021	0.007773451554243224	0.002379703461816676	0.0	0.006673230025635278	0.00032510691920982135	0.0	0.0	0.0028710187470447493	0.010728115815619433	0.0067472828301377045	0.0	0.0	0.0	0.0036851368668912757	0.0	0.0	0.0001483574965237803	0.0	0.0	0.0	0.0	0.007564841244777439	0.00011924658617161423	0.0
