	S1	S2	S3	S4	S5	S6	S7	S8	S9	S10	S11	S12	S13
20964295	0.019018774525829233	0.0	0.0	0.01524113106611975	0.0	0.0	0.0	0.032874866070209285	0.0	0.0	0.0	0.0	0.0
20989910	0.018562948416413722	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
21000180	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.143479878059763	0.0	0.0	0.0
21000630	0.0	0.0	0.0	0.04234915206047295	0.0	0.0	0.08387766323400599	0.0	0.0	0.0	0.0	0.0	0.0
21002524	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.03366141286398755	0.0	0.027283270856655415	0.0	0.0	0.0
21125782	0.0	0.03740431305983573	0.03574893616586951	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.04377019866642326	0.02679157884346045	0.0
21176459	0.009737323686191818	0.0	0.0	0.0	0.029483615912677393	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
21183160	0.0	0.0	0.0	0.011733309474049405	0.0	0.0	0.0	0.08480304761900008	0.0	0.0	0.0	0.026279582980481574	0.0
21189544	0.0	0.0	0.0	0.0	0.026807360160265924	0.0	0.004983755330237539	0.0	0.0	0.0	0.0	0.0	0.0
21236608	0.0	0.0	0.0	0.0	0.033617732863016336	0.0004478826735770604	0.0	0.0	0.0	0.0	0.0	0.0	0.0
21274280	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0781957581769974	0.0	0.0	0.11581586691592961
21293107	0.0068980641594046785	0.0	0.0	0.058350308028354496	0.0	0.0	0.0	0.07501083094322428	0.0	0.0	0.0	0.0	0.0
21362537	0.0	0.0003308000364190125	0.0	0.0	0.05973447863638649	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
21402304	0.0	0.012149391888330372	0.00840106433066509	0.0	0.0	0.010357671616983814	0.0	0.0	0.0	0.0	0.0246561705441389	0.0	0.0
21413181	0.03900002595268604	0.0	0.0	0.040582827523820794	0.0	0.0	0.0	0.1124369668794122	0.0	0.010360232635897436	0.0	0.0	0.0
22789958	0.0020246211513182256	0.0	0.0610523902928985	0.0	0.0	0.010962880214760929	0.0	0.0	0.0	0.0	0.0	0.0	0.0
26631069	0.0	0.0006979121987294469	0.0191838178775776	0.0	0.012433756663386072	0.03032344963149307	0.0	0.0	0.0	0.0	0.0	0.0	0.0
27481601	0.0	0.01697132855690619	0.0	0.0	0.07089705508853218	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
35941263	0.0	0.0	0.0026411579824935894	0.0	0.0	0.07893944577068375	0.0	0.0	0.0	0.0	0.015720345205681815	0.0	0.0
36379623	0.0	0.0	0.0	0.05959432564379774	0.0	0.0	0.0521464124012925	0.0	0.0	0.0	0.0	0.0	0.0
39800111	0.0	0.0	0.0	0.025873076456547236	0.0	0.02868404094918245	0.03109909391284113	0.0	0.0	0.0	0.0	0.0	0.0
43485807	0.007465240297418473	0.0	0.03227594177295227	0.0	0.0	0.0	0.0	0.0	0.0004899849540202651	0.0	0.0008687023069443528	0.0	0.0
44019405	0.0	0.0	0.0	0.025875830514475406	0.0	0.0	0.029206476968281367	0.0	0.0	0.0	0.0	0.0	0.0
4576591	0.0	0.0	0.0	0.04283307229827181	0.0	0.0	0.0	0.0597916829744326	0.0	0.0	0.0	0.0	0.0
46000440	0.0052189840760818815	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.24315112860023502
46369736	0.0	0.0	0.004062585428879129	0.0	0.0	0.0	0.13211045715321057	0.0	0.0	0.0	0.0	0.0	0.0
