	S1	S2	S3	S4	S5	S6	S7	S8	S9	S10	S11	S12	S13	S14	S15	S16	S17	S18	S19	S20	S21	S22	S23	S24	S25	S26	S27	S28	S29	S30	S31
TINAGL1	0.0	0.0015721224750812164	0.0002207228323076666	0.00016928119755407753	0.0	0.0021338213357805272	0.0	0.0013728096454239344	0.003724411911234779	0.0	2.9037922109724067e-05	0.0	0.0025841695259229583	0.0	0.0011688676412841014	0.000127304006144613	0.0002729186030738676	0.0004692363826910193	0.0018542964460705152	0.0012410512760263903	0.0	0.0022270354449242333	0.0	0.0004367377416616617	0.0	0.0004696191576221341	0.0	0.0003304031452619237	0.0008450509026679858	0.0013689605086054054	0.0017471474244393262
COL16A1	0.0008889919252680024	9.785744197730758e-05	0.00033351481482812287	0.0	0.00020597840165840147	0.00037124268434839716	0.000326204118858935	0.0027515080169042755	0.0	0.0016134446868479408	3.276807089187285e-05	0.0008858222689326744	0.0008755280603009891	0.0017009756353192562	0.0	0.0	0.0024622827388996404	0.00095605520943608	0.0	0.0	0.0014393378799059445	0.0009364814290374671	0.0014079658033445326	0.00021172917845223275	0.0024484905626127582	0.0010567450136667329	4.864125153092093e-05	0.0017533499227763729	0.00038793488495190466	0.00020369629439490156	0.000345814327516944
HDAC1	0.0020495682687655566	0.0004936444886738629	0.0009773109345009904	0.0009965435534338607	0.00021884489253224922	0.0	0.0015986682269904754	1.4351319780297398e-05	0.0	0.0	0.0	0.0009953855694175345	0.0024582637445291055	0.0017310977229692385	0.0	0.00010097026856246848	0.0	0.0002792075885899619	0.0	0.0006832779894136664	0.0008227407544199011	0.0017898978306045941	0.0022525217606119484	0.0011935480969505474	0.000503987659438562	0.0032433496004157882	0.0	0.0	0.0	0.0	0.0006178963340664164
RNF19B	0.0019835772891189	0.0	0.000297080839825096	0.0	0.0	0.0	0.0007894089896790805	0.0	0.0006147977209639928	0.0004035074996123444	0.0002223999057745967	0.0	0.0006904860451890847	0.0007916601449378439	0.0009374855975365159	0.0019624727849128676	0.0015828090014794625	0.00036324278317134657	0.0014692852371714356	0.0016507116492490244	0.0002786703080709146	0.0	0.0009278521268287681	0.0038351108734564782	0.0	0.0018350172645969086	0.0	0.0011888809231527116	0.0008023972476316477	0.0017607282879006743	0.0009417658981220966
CSMD2	0.0015074542192287362	0.0009106578416380481	0.0009617797917639803	0.003342799093773591	0.0	0.000862215213374786	0.0	0.00044786557987237937	0.0011916077608788403	0.0028870008284206682	0.0004148979032663662	0.00039038788085934994	0.0	0.0010895218316758267	0.00029686680834487786	0.0018349798847911004	0.0015334763956324697	0.0010772870184945658	0.0	0.0	0.0	0.00041059657306669875	0.0	0.0	0.0	0.00011417352389975479	0.00028726302994328446	0.0	0.00045592021650603257	0.0009737743398817366	0.0008403473225688811
ZMYM1	0.0007746725689454439	0.000653300291349613	0.0	0.0	0.0	0.000665489036106732	0.0029961523249313043	0.0	0.0	0.0	0.00035575824535999054	2.5515348320846706e-05	0.0010847238855740636	4.167685791841487e-05	0.00043708022434411865	0.0011029254705019814	0.0006403456272874735	0.004088343628097736	0.00035797668999063546	0.001531769097190487	0.0007431013391278443	0.0002165903048968718	0.002842300554713836	2.7532404915535885e-05	0.001427649097892641	0.0023178335576849226	0.0007732086354219012	0.000470421685496015	0.0	0.0	0.0
NCDN	0.0009258652473014716	0.001876784769473147	0.0	0.0009818422081469666	0.002449243608121054	0.0010981907955947146	0.0	0.0	0.0006672061640612114	0.0	0.0013698878279591218	0.0	0.0025995728905949768	0.0	0.0	0.0	0.0	0.0009755006305256541	0.0	0.0015811673224296633	0.001226476712893684	0.0008832230629329714	0.0	0.0016287401027504182	0.00045475921644825174	6.455917474987291e-05	0.00022909681640877902	0.0009033839055001281	0.0010008235840975447	0.001584100212085549	0.0016401502219612
PSMB2	0.0011769733800711822	0.0005998224753868095	0.0	0.0005573367505222489	0.002301704631905352	0.0007387592868811404	0.000561271424881357	0.0024194874017277345	0.0	0.0	0.0014150562840644781	0.0	0.0	0.0	0.0	0.0011225471154285452	0.0009689238407595544	0.0	0.0	0.0008052591172928189	0.004631650176516723	0.0	0.0011888583716654533	6.216494242417046e-05	0.0	0.0012998577724073407	0.001596941955158861	0.0009686768635598776	0.0	0.0005596959614202734	0.0003042656803123195
C1orf216	0.0007043154671337594	0.0	0.0011524305518346109	0.0	0.0	0.00232965785025401	0.0003077172515764718	0.0	0.0006837449180674297	0.0	0.0027099794387173857	0.0	0.0020816743319604994	5.696181645564307e-05	0.001793478125458223	0.0	0.0005114194983741567	0.0	0.0019944907345157154	0.002316319937221072	0.0	0.001512614848793512	0.0	0.001096262634635824	0.00031528094833994474	0.0003459554455784796	0.0010753271477262952	0.0011037805100143493	0.0	0.0023968377837597418	0.0
AGO4	0.0007193419829183418	0.0	0.0009142698006919476	0.0	0.0	0.0007079666728844282	0.00035958464399534965	0.0	0.0	0.0	0.0018828236879540542	0.0	0.0020318120515320404	0.0	0.0011664175246362122	0.0007600698709761938	0.0010955236192327121	0.0010084863786884682	0.0014700332607877251	0.002199007229137763	0.000325947517836113	0.0010737480454124575	0.0017728839072622018	0.0020526508130485227	0.0	0.0015704617934209416	0.001944661463591352	6.344968449545027e-05	0.00013392702389158646	0.0016268459431605694	0.00027691314244763257
