	S1	S2	S3	S4	S5	S6	S7	S8	S9	S10	S11	S12	S13	S14	S15
HDAC1	0.0	0.0024496792311513977	0.0030850540793094616	0.0015727486716285782	0.0021896721563976628	0.005294343894612972	0.0	0.0005521578307681092	0.0	0.0028446321436584217	0.00498922354138094	0.0012670154281026402	0.0	0.0	0.00326371233286283
GJA9	0.0006136186503934017	0.0	0.001556826956046348	0.0028596041608270413	0.001474655832362799	0.0039115144402775606	0.0010646023452585058	0.00037854516521385235	0.0005020716519645658	0.0	0.005670047949617771	0.0024059413678574103	0.004065712943173149	0.003462654241496659	0.0007350152910920262
HEYL	0.0025598497012382865	0.0041649768725786455	0.0	0.001695098582218918	0.0	0.0014281500286472172	0.0	0.002344703027698548	0.0	0.0	0.0005990645898281254	0.007552994802706127	0.0031610358865759944	0.0015273341650229968	0.0013605552337182145
PPIH	0.004379251559406726	0.0	0.0	0.002894088692727692	0.00010733399834595053	0.003029481744774505	0.002782169548869527	0.0015351019193512898	0.004545570516635688	0.0004879222208878055	0.0	0.000223461025935485	0.0024195711256310994	0.0	0.002270360956441416
ERMAP	0.0043692291739740475	0.0035108020793005903	0.0	0.00028166727313059994	0.0	0.003918852556641701	0.0011063269715268832	0.0	0.0	0.0	0.004701773597070468	0.0030296794895630016	0.0	0.0014153950274551474	0.0027288805489937298
CFAP57	0.0038386411023837745	0.0013329340149582532	0.0007687755615669564	0.003617388208404003	0.0	0.0006786025146292728	0.001708885420923114	0.0008146603662182857	0.001751564325400485	0.0022252691868278936	0.0019385061242078898	0.0	0.00358669798925917	0.0024890509216742495	0.0
SLC6A9	0.002567592373513501	0.0	0.0027380251525519084	0.0005040141858521182	0.002070190542105399	0.002649089093234827	0.0	0.0009416131505931276	0.0012713557618574882	0.010333911458176021	0.0002970751956520612	0.0003028273043608931	0.0	0.0013925145530319144	8.760855600147126e-05
HPDL	0.0018029539577915604	0.0026959710528733152	0.0	0.0	0.0026245358210303673	0.0039795784211712135	0.003339249012640605	0.0030708347302028137	0.0038186541054368245	0.0026497593906017573	0.0	0.0	0.00029723748826321876	0.0	0.0
NASP	0.0	0.0014933451440781195	0.0036162215830703296	0.003127186275378645	0.003540178350041184	0.004735035988056097	0.0008819544383361287	0.00011797734851012846	0.0	0.0	0.0017694103198739961	0.0050303419199213195	0.0005300934048678819	4.014305160283404e-05	0.0011427188478839606
DMRTA2	0.0009849168106671224	0.0035859005058154073	0.0016426579161726294	0.0008554377193467777	0.0	0.0006024220468570034	0.0	0.00032296473578487825	0.0	0.005031431397367597	0.0058706115615428	0.004038206456781992	0.002028574921659221	0.0010223259782069366	0.002558241397428162
TTC39A	0.0	0.0035002697569560294	0.001694792583779337	0.0018144754450509972	0.005069267136310514	0.0008332899086456127	0.0	0.0016844785836583264	0.0	0.0018121941081323328	0.002681033201007049	0.0019265596770041606	0.0031542028590491877	0.0026171234298701285	0.0
