	S1	S2	S3	S4	S5	S6	S7	S8	S9	S10	S11	S12	S13	S14	S15	S16	S17
CD320	0.0016983616471136441	0.005908881798576987	0.0006128607967257076	0.0003103074804953203	0.0016968527215032055	0.0028089808541471297	0.0007813512972400023	0.0011626733681179278	0.0010771325647956896	0.003679737197593736	3.0571421673883584e-05	0.0012079263484946028	0.0023454875160313225	0.0	0.0	0.0019006375973902158	0.0014191879144088125
MYO1F	0.002623456172536457	0.00294688575401414	0.0	0.003177907210470944	0.0005510679333114345	0.0012206680340677897	0.0023667025779761093	0.0009530073690159324	0.0	6.0722965160708475e-06	0.003080603022346895	0.0	0.0019466782109236473	0.0	0.003936052875527438	0.0017638706051693854	0.0047186309326679825
PRKCSH	0.0035069614805566585	0.003864559657469407	0.0	0.0034484200736590405	0.0002498421133481665	0.002315370617277901	0.0012115259542826275	0.0030590725750567404	0.001019373440515545	0.0	0.0015038781182661446	0.0	0.0016367220176534568	0.0	0.0010717724365363966	0.0016113036918659303	0.0
ZNF491	0.0006797042777022934	0.0004327634113100254	0.004821862651895846	0.0016493245458106434	0.0010156961006202803	0.002616845558549072	0.0027001458506776426	0.0031666764301375955	0.0013453137510462043	0.0022822427789117145	0.0	0.0	0.0013958556373862717	0.0	0.0020953980375007382	0.002157302066395978	0.002599260933830694
RTBDN	0.0020489689552631754	0.0	0.002535503849536126	0.0004760168366740221	0.0029441560459313783	0.0010078009221844546	0.0023824766252645516	0.0	0.0023070421858371656	9.074489280094446e-05	0.0035287688101241894	0.004644321890539712	0.0	0.0011099265399028716	0.0027733538061682156	0.0006915086064974627	0.0016330956606108958
ZSWIM4	0.002629977823494417	0.0043577678246922895	0.0	0.0026977956378567594	0.0004406069631173555	0.00375065213217502	0.0009791416405350523	0.0006880533460760782	0.0	0.0	0.0024507567389174196	0.0	0.003433033123214217	0.0	0.000961229389829592	0.0010056813840657185	0.0036453418453396866
ADGRE2	0.002600481420755912	0.0035838539828923657	0.000820368483084682	0.0017051994835121302	0.002641354671882515	0.0009935062637349995	0.001935414407673543	0.002354637763215834	0.0003502251938760591	0.0013982770026116738	0.002497580526457058	0.0	0.00018076897383572215	0.0	0.0005823065426769476	0.0012551982760463072	0.0047620286579396895
RASAL3	0.0010728339429402866	0.0006023179960872184	0.0	0.0033542140590645513	0.0	0.0023238018922224954	0.000846568746030745	0.0025177408463041063	0.004063485411519091	0.0	0.00480340558187338	0.004674747207501249	0.0	0.0030221520967261446	0.0	0.00021744540622254668	0.0018090174192172937
OR10H5	0.0021458694982085112	0.004352551518940665	0.00030098507433506136	0.0	0.0	0.0018811088981011252	0.0014398797975314816	0.005187600982368983	0.0	0.003908711631644977	0.0	0.0007912634854570292	0.0023160861229541835	0.0015213487521470081	0.0007388247613085026	0.002684830726490975	0.0
KLF2	0.002934109709657951	0.001788077012975602	0.0	0.00036645502657863547	0.004172748182137407	0.0011491087770329749	0.0008174903213430836	0.001448499171327038	0.00038230894689607255	0.002721103953364319	0.0	6.759321844857569e-05	0.0031923315592735173	0.0006111198419730559	0.003569447601630231	0.0021722787213299707	0.0032303864061990132
MRPL34	0.0023626577055250006	0.004456620826038511	0.0	0.0	0.0	0.0	0.004768707899294809	0.004161795154490121	0.0001668043635117628	0.0	0.0018803587463550914	0.001264128893544365	0.0017148752762453695	0.0028509746397537617	0.002953900083692961	0.00028077010400531045	0.0
DDA1	0.002622746749153889	0.004737405978837798	0.0001108392570079642	0.0018302314466443028	0.001134753659800052	0.0024432316882192604	0.0024500437269668316	0.0	0.0012698111220933739	0.0010640212630713853	0.0	0.0012876678640933463	0.002038726387000595	0.0	0.0013642357778822414	0.003528594438261695	0.000306619108317301
GMIP	0.0018372328339799748	0.0	0.0004625488088904314	0.0007977339147127042	0.0	0.004148575621007586	0.0022181349709623557	0.0035894511556218466	0.0026426666156610036	0.0029710848101852008	0.0009582705494974672	0.0015703532483999868	0.0011216083923399841	0.0010247396745107472	0.0011967973155308513	0.0009367515365224942	0.004725430896132283
ZNF431	0.003468452845264042	0.0006178656502011547	0.0	0.0015466266301030933	0.0034607437568323286	0.0022582918705098356	0.0014944953827041123	0.0	0.0015782405557568445	0.0035432490250865943	0.0006175901698484475	0.0014768468901525434	0.0	0.0006115307826703235	0.0023630282674392033	0.002985964191157629	0.0010083060016016646
GPATCH1	0.0004327541529813053	0.0	0.0033557654206212185	0.0005887158594984566	0.0	0.0029671282524394646	0.0036633895516193344	0.0014073854617874038	0.002860606978438367	0.0037376919146088513	0.0	0.001000761064475389	0.0	0.005680529159717024	0.0006710510356499746	0.002350227876411474	0.001036155126807617
ZFP82	0.0	0.0017754536389370966	0.004536231587128497	0.0	0.0018319801908765262	0.0	0.0021901932090158845	0.0012277117057719288	0.0035300424748436043	0.003616173278988939	0.0	0.002457668599243446	0.002305105155445748	0.0019507560245064684	5.2711376393657985e-05	0.003831269729964388	3.922102704457726e-05
SIRT2	0.0006385680579777618	0.0	0.0028670574327993538	0.0	0.0	0.005921783733724478	0.0006663480130141002	0.002299581870727192	0.0008113569511323596	0.00148258245413225	0.004270481420283445	0.002345254690067774	0.0	0.0020016169447739807	0.002584901042882986	0.003436283767374508	0.000609951577610549
GMFG	0.0018199395224728382	0.001411315298667494	0.0007790908200659778	0.00025881637055312056	0.0	0.00378151709931901	0.0017895309509538652	0.002474705075503382	0.0	0.0	0.0	0.0006589903559164348	0.004612075473801818	0.0011779608040544882	0.005520672222937196	0.0038881485416055405	0.0026817486736221093
PAF1	0.0020419091138529446	0.0	4.121148394565522e-05	0.0024150262224862306	0.0043887834206038515	0.0	0.0	0.0015221042872986604	0.005183990352861847	0.0007568712617253121	0.0010901297918949405	0.005056461751092469	0.0	0.002001524015834559	0.0010119803861865968	0.0	0.0031183494631652512
C19orf47	0.0005327505969958421	0.0005860885968336192	0.0044675799842522415	0.0009470104350503232	0.0	0.0	0.003938528332029267	0.001957807076230801	0.00420316531923535	0.0	0.0	0.004507780917785739	0.00036683237724024456	0.003297398756883591	0.0015262876593463992	0.0017258047449044242	0.0010547458386396824
CEACAM4	0.0020745632524497124	0.005047913550031244	0.0015023589676335233	0.0	0.0050227761819878055	0.0	0.0022249161571337695	0.0016771167797830584	0.0	0.0007852689367777674	0.0	0.0005945217813351916	0.0031069697449613693	0.0	0.0	0.0024265392496953453	0.002304690393132127
PLAUR	0.003282117418016638	0.0010268489208224536	0.0	0.003049337333618137	0.0021812667501176454	0.0	0.0015141294519881014	0.0014565508225305656	0.002787470473379652	0.0017856922555380247	0.0022449339947863017	0.0029949208569452998	0.0	0.0	0.002645412720302403	0.0015440619890744567	0.0005777709308530543
GEMIN7	0.0005941744843111744	0.0019575155175344874	0.003324122520750959	0.0006772298991111018	0.0	0.0037364376331630073	0.0013254536658196326	0.0005223159508674683	0.0015397538092699122	0.0024579142602727715	0.0	0.004887686544497178	0.001624916552631532	0.0017192362780777278	0.0007853706362653944	0.0025811637827510116	0.0011899929885721687
SIX5	0.0026211644285685886	0.0021161229942738063	0.0	0.0	0.0005636887292940608	0.0024051894484745347	0.0	0.0015513783835692195	0.006085552364470018	0.0012298525293373552	0.002347629962314964	0.0016154212910466964	3.3267673544837524e-05	0.006458702541969094	0.0	8.030847375304259e-05	0.0
TPRX1	0.0	0.0005580333221019887	0.004343946685386375	0.0021836164274721477	0.0031286801838522815	0.0013513703184245315	0.0015253413879078085	0.0	0.0	0.004196342416893509	0.0028907280733331117	0.00016491588512651512	0.0	0.002823225207728515	0.0021591697084669993	0.0021209975740968203	0.001631740155637699
BSPH1	0.0	0.0024456425558591734	0.0050609943427318465	0.0	0.0027619374521081056	0.002008185343649374	0.0010687325991203254	0.0	0.0011669249663658133	0.002939959195256678	0.0	0.003993335149421098	5.8328503417402045e-05	0.001953402609477236	0.0011695196946754868	0.003404459631122649	8.534147294887827e-05
EMP3	0.0025517291594434055	4.165441008592897e-05	0.0	0.0008534762286879616	0.0	0.0	0.003299109272960353	0.004150488040326376	0.0017741650843590793	0.002476021790944392	0.004382632475058151	0.0020792615948600815	0.0014223668651988086	0.001080791988638672	0.003428285190510348	0.00024979611089758413	0.001958412293463998
