	S1	S2	S3	S4	S5	S6	S7	S8	S9	S10	S11	S12	S13	S14	S15	S16	S17	S18	S19	S20	S21	S22	S23	S24	S25	S26	S27	S28	S29	S30	S31	S32	S33	S34	S35	S36	S37	S38	S39	S40	S41	S42
MTERF1	0.002521140882960145	0.0	0.0	0.0	0.01519284864696421	0.0	0.0	0.0	0.0	0.0	0.0	0.011052666553128837	5.215789699499748e-06	0.0	0.0	0.0041022576025528945	0.002034619734384791	0.015016187087762551	0.0	0.01730690256296297	0.01398528608460875	0.0	0.0	0.000501705960334963	0.0	0.0	0.02076639300460352	0.0	0.0004282483175580716	0.004700120105467144	0.00413922300537625	0.0	0.0	0.0	0.0003461203805806788	0.0015358918134315744	0.00891471822960271	0.0	0.010426427722039949	0.0	0.007919803727558659	0.00517894815912614
PON3	0.0	0.011429027583989745	0.01229516655970404	0.007289337975571661	0.0	0.017203419653852532	0.0009226794757656818	0.001302473513557241	0.0	0.004601464641860548	0.0	0.0	0.009111684276118436	0.001574496383278451	0.0	0.0026150209201410983	0.010562690226306279	0.007557945145072549	0.0006115506532629311	0.004440399154643525	0.0015083899664286625	0.0	0.0	0.0	0.0	0.0	0.0	0.005924959429794417	0.0	0.0	0.0	0.0	0.010797513366876652	0.00041595500892335465	0.01325154649361671	0.013808630432247084	0.002008408971185593	0.0	0.001055795239308375	0.0020208706374532297	0.002316255355060353	0.0
RNF148	0.00823961709366295	0.012185818885570321	0.008071478063427366	0.0	0.0	0.0	0.0	0.018474802918633924	0.0	0.004802373500299358	0.003496702061736657	0.0	0.007238446510757581	0.0	0.0	9.375163226429258e-05	0.0	0.0	0.0	0.0	0.0	0.011017336148261935	0.0	0.0	0.008131722281775798	0.0	0.011742921998117682	0.00319003692106609	0.0	0.0	0.009170933918541669	0.0	0.00999544970257617	0.0	0.0	0.011399250191778365	0.0	0.0	0.004858875285178928	0.0033670897418936582	0.0007518496306588054	0.00783825939563599
GRM8	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.014314038657062399	0.00157213238599159	0.001849608830260051	0.0	0.0087916738082908	0.0	0.0008051934140509711	0.005378516552046209	0.0	0.027721890835021086	0.005821813366909953	0.004183503857721006	0.0	0.005032766481482952	0.0	0.0	0.0	0.005783218252509642	0.00039841848141783007	0.0008812264372257342	0.001527918364717599	0.0	0.003260867569112214	0.020514802460242433	0.012439898607537702	0.001208577890236912	0.005457048584386596	0.014212812289591481	0.0	0.0	0.0024034948298628836	0.0	0.0022604960814176485	0.0
MKRN1	0.002243520135200759	0.010753471890283906	0.0	0.0	0.0	0.004770048411999092	0.0021331954604125606	0.008392172931547908	0.0	0.00682179343471144	0.0	0.0	0.0	0.0	0.0	0.0005237678836913704	0.0	0.0	0.0	0.00038988962230521797	0.0	0.0	7.612939675806318e-06	0.021087691404118408	0.0	0.0005434649793992008	0.0002918097417235451	0.0	0.00530073803995312	0.027300103623586675	0.006322252953530399	0.0024432100419286983	0.0	0.0	0.003985291999455457	0.013854002701533806	0.0	0.0	0.010583634541479106	0.0	0.0	0.01937084278771503
PTPRN2	0.0	0.0027367490736294304	0.005168326514830955	0.0	0.0	0.0005901949891572783	0.0	0.0	0.0	0.012581981108340095	0.0	0.0033765628876794734	0.007866086669255158	0.0	0.0	0.0	0.006689598049056182	0.0	0.0	0.0011315964848089889	0.008079903605918462	0.0	0.005975322609266329	0.0019457265690602393	0.0	0.0	0.0	0.0	0.02312473992592537	0.014253650718273878	0.0038610185912570792	0.0	0.0012677802914235745	0.0	0.002973773148096292	0.0	0.025027256977918407	0.0	0.010088291252813705	0.01044927013962984	0.00024513175366767037	0.0
FBXO25	0.0053705881729638845	0.0	0.0	0.00501079872936098	0.0	0.003145025449282765	0.008806742616564911	0.0	0.020206650349339137	0.0	0.0	0.019631308647140744	0.0	0.0015798862539340883	0.0	0.0	0.0	0.0	0.003583563554993577	0.0007733708036457307	0.0	0.0	0.024026707082309782	0.00038746384845524026	0.0	0.0	0.0	0.0	0.009384974105968018	0.006729218676328551	0.0	0.004061903465253287	0.0	0.001175958206176773	0.0025703154464114335	0.004620053494746264	8.48087629922115e-05	0.0050386554052151	0.0028985779567820475	0.006595631854209527	0.005860811047652961	0.0022914548514872627
PPP1R3B	0.006506807237649728	0.0	0.0	0.002428834270275427	0.0047386337234644185	0.0	0.0008203213132550432	0.0	0.012211240371350036	0.0	0.00909198548064496	0.014708711787178618	0.0	0.007919014255294957	0.0035792884487432157	0.0033978476530258767	0.0	0.0020715509897813265	0.0014309588880952484	0.0	0.006663759113622719	0.00830854115326422	0.001773516329718356	0.012300925060630543	0.0	0.012573741762589328	0.005795943689798196	0.0010193081767150942	0.0	0.0	0.0	0.005745276744372127	0.0	0.0	0.0	0.005131340819417061	0.0001841990906389392	0.0	0.0	0.0	0.014412456144216311	0.0020963032343910746
CNOT7	0.0	0.012389352142633635	0.004767041778686313	0.006369994590149839	0.009879141708063139	0.014271679235282742	0.0	0.0020121996066229998	0.0	0.004545238201308113	0.0	0.0	0.011444957822971997	0.003184334171696298	0.0	0.0007832448596143457	0.005078297231898714	0.0	0.0	0.0	0.0	0.0	0.0	0.0010502929560396099	0.0	0.0	0.007866997528637655	0.007138493781076741	0.002167301597640025	0.0088630099719444	0.019941313396503346	0.002440077544090381	0.0	0.007622189023377597	0.0067017290262446575	0.0	0.0	0.0	0.003845592033403966	0.0	0.0	0.0023199748072053883
ASH2L	0.009979102053876228	0.0	0.0	0.0096250779535934	0.003945249220369376	0.0	0.0	0.0	0.007225824959493058	0.0	0.003441798412626856	0.009379043993751448	0.0	0.016873308714843077	0.004286970063171154	0.0051750402810211565	0.0	0.0	0.004987554614100279	0.006530267345740418	0.0	0.0031333604348124044	0.015355410685529985	0.016587043241708614	0.0038266343006202693	0.0001456120420911792	0.0	0.0	0.0014852540488759498	0.0	0.006115799025843076	0.0026470002220142803	0.0	0.004507855715140898	0.0004684431821331448	0.0	0.0	0.009180068893661032	0.0	0.0	0.0	0.0
OPRK1	0.008282981575271438	0.0025677269005786162	0.0	0.0	0.00836408226403224	0.0	0.0	0.0	0.01092262432396793	0.011017268199776048	0.0022162321765316806	0.0011007269476659045	0.0	0.0	0.0	0.0026827057068922536	0.0029529825374084583	0.0	0.01611552486614858	0.0	0.006918013984734886	0.0	0.011814835206704717	0.004796584200851057	0.0	0.021859767847768455	0.007509612056255783	0.0	0.0	0.0	0.0	0.004454118456136087	0.010992292513267082	0.00020203835238332763	0.0	0.0	0.0	0.002750452950995212	0.001692380822805391	0.0	0.005691548856718677	0.0
COPS5	0.0071717857003726	0.0	0.0	0.0038884003605337944	0.005096580874463513	0.0	0.0	0.0	0.011746887156052275	0.0	0.005033153506633323	0.014426155780674434	0.0	0.014823782306036844	0.0	0.003976281993866097	0.0	0.0	0.00974818737797509	0.0	0.004775496475041206	0.0044150965647379095	0.0021091073102327577	0.005487057281412433	0.002919513200629672	0.007797188642159033	0.0	0.0	0.002677641816486379	0.0	0.0	0.0014574786420795906	0.0018193251753476957	0.009681579834358422	0.005542592103366604	0.0	0.0	0.021525472015655828	0.0	0.0	0.0	0.0
PREX2	0.0003881282087334585	0.004121080157451582	0.01610391292793667	0.0	0.0	0.0143866948871369	0.005388235949394523	0.006328076534857247	0.0	0.003783868890102208	0.0	0.0	0.010605106672424947	0.0	0.0005109681929242995	0.0	0.00022448064032563745	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0076161858062480025	0.0	0.0	0.008424354000011448	0.005072344527792495	0.012110700077940732	0.005866232781185621	0.0	0.0006904334519850011	0.0	0.0	0.0024724134993063932	0.013200696772488774	0.0066238406870757355	0.006179836969850928	0.014446092799945924	0.0	0.0011331450608908042
CPQ	0.012041599880640363	0.0	0.0	0.013442494769322771	0.012566479120323793	0.0	0.0	0.0	0.0	0.0	0.0	0.003993044134993794	0.0	0.005168266802343006	0.0	0.016727574937427443	0.0	0.0	0.0021126105075577337	0.0030181702294676677	0.0	0.0	0.008775188771071658	0.01205369937912882	0.0	0.010205101492390217	0.0	0.0	0.0	0.0	0.0038571236189480227	0.000857193223241274	0.0	0.00987507037324491	0.0036779431293476285	0.0032409116511356658	0.0	0.0	0.007646414903573437	0.0	0.01121079418667667	0.004950284846443595
CHRAC1	0.0	0.0016119285328771507	0.008742425176535978	0.0028059909172559938	0.0	0.007755474526955634	0.0024954944508800477	0.00826467434432012	0.0011542370037142392	0.006145262535201805	0.0	0.0	0.011561780747428661	0.0014867409543102075	0.0011170656709560544	0.0	0.016056380059488225	0.0	0.013366381316180525	0.0	0.0	0.0	0.005576652813869756	0.0	0.005331492485966357	0.00016342352844886995	0.0035239726930804574	0.0	0.008539154187153643	0.0	0.0	0.01259448236274534	0.01901158933046912	0.0022612356299436037	0.002206997347606837	0.0011153795381634514	0.0	0.0009667385637362839	0.0	0.00045102628290353874	0.0	0.0
ARC	0.001717631719704694	0.00926150516143731	0.0	0.0	0.0	0.0038453495699197417	0.0014639982444225443	0.004267775685119369	0.02081407545096917	0.00015577637536489286	0.015783427886733384	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0011769234880403873	0.0	0.002618661538699503	0.0	0.005442589565121026	0.0	0.0017733555018487918	0.0	0.0	0.0	0.0033040395516602547	0.0	0.016017506761086795	0.0	0.0	0.0033025867059509233	0.0	0.015922130498752338	0.0	0.006400950305101831	0.0035855727519104267	0.019834876493965165	0.010195401055031743
MAFA	0.011992394376296976	0.0	0.000618293392137728	0.0	0.0	0.0	0.0055916290202989785	0.0	0.0030840909945393205	0.022135962934871925	0.0020985183130953337	0.0	0.0	0.00568849978611199	0.008629351003662954	0.0	0.012753197484612473	0.004079702693909693	0.0	0.0	0.0054381700812579075	0.0	0.0	0.0	0.00427803621541858	0.0	0.0	0.0	0.023652209957447583	0.011774509585357347	0.006114850692673691	0.0	0.0	0.0	0.00992066910706241	0.0	0.0	0.002696143393171173	0.0	0.0021533291206843647	0.001664426277119234	0.0
SPAG8	0.0	0.01480158677701582	0.01707039667384759	0.0053696540865566375	0.0	0.010515052445903892	0.007679749490647712	0.007626159857286372	0.0	0.004195867424096846	0.0	0.0	0.008089208726673841	0.0	0.0007281340833881184	0.0	0.010599955271748264	0.0027538215828765817	0.0007513881310235956	0.0	0.005587812877981426	0.0001279942726737033	0.0	0.0	0.010687894582538453	0.0033421445491789593	0.0028023897682235835	0.0015446484077469532	0.0	0.0025104527246388245	0.0	0.0	0.011849810831338231	0.0	0.0022534299060644513	0.00833378414096287	0.00022798634061670065	0.0	0.00036485046122857297	0.0023771574044515863	0.0	0.0
ZNF169	0.0	0.0	0.01786152122534324	0.0	0.0	0.0	0.02033739694441724	0.001081881656521892	0.00342344410349873	0.0006213188696403824	0.0	0.0	0.004655402564127793	0.0	0.015145037065237092	0.0	0.0052091997898889445	0.0	0.0	0.0	0.0	0.0	0.0021610029439899005	0.0	0.012309343416704905	0.006619704735795886	0.0	0.0	0.0	0.0017727034518425688	0.0004786333086378354	0.0	0.0023164406283231057	0.0	0.0	0.004587833711625378	0.0	0.002889743063995286	0.022127623914396828	0.0212439088816611	0.0	0.0
ERCC6L2	0.0017556935300359058	0.0	0.0	0.0	0.0	0.010357399770450726	0.0	0.010311087424968871	0.0	0.0004911699940775231	0.003987956196874345	0.008466543546924995	0.0	0.0	0.0005632282555592497	0.0	0.0042692856284757994	6.076578049894304e-05	0.0	0.0	0.0	0.0	0.012510054615370119	0.0	0.0014988264608569643	0.0	0.0028711705732849878	0.0	0.03199679506484684	0.0	0.0	0.01726756401081345	0.0	0.01334874343289455	0.0	0.0	0.008178213176206256	0.013314406019191623	0.0	0.005496302686477854	0.0	0.0
TRMO	0.0	0.0	1.7534778822705683e-05	0.0	0.0	0.0	0.0069098523587931004	0.006050546742463959	0.0	0.01387265762846674	0.008007584411245775	0.0	0.0	0.00047283623863832397	0.0	0.0	0.0	0.0	0.0	0.0	0.001547417429297018	0.0	0.0	0.01997708908096022	0.0	0.006215385016358418	0.004169774194301428	0.0	0.0	0.010684135682230238	0.0	0.01155692608783194	0.0	0.006510958564988686	0.0	0.010834081510907183	0.010501267539665467	0.007789222327379714	0.011391703437507703	0.0	0.01264656101156685	0.0
