	S1	S2	S3	S4	S5	S6	S7	S8	S9	S10	S11	S12	S13	S14	S15	S16	S17	S18	S19	S20	S21	S22	S23	S24	S25	S26	S27	S28	S29	S30	S31
SRSF4	0.0009247877577852561	0.0012957474338497455	0.001310641459687449	0.0010791494894863982	0.0007527527495907348	0.0	0.002058014844994519	0.000997406158895077	0.0008135625690020559	0.000988513563836347	0.0	0.0015591530644341104	0.0	0.0006141498292662567	0.0012924209487994043	0.0003986323186017958	5.8919934529219685e-05	0.0008654520863825263	0.00031511395225216607	0.0	0.0006969472457205022	0.00024194583605335835	0.0013478646245910625	0.0006621808365549956	0.00011068933642121642	0.0004884156988781143	0.0009875130648264135	0.0017334654311361622	0.0	0.0005675001636227685	0.0007172244460441761
MATN1	0.0005052316177947494	0.00037633422568055387	0.0008834456954465854	0.002535194751351917	0.0009544557079250554	0.0007580690099794634	0.00013571660462006094	0.0001629464779755376	0.0	0.0011722826875854118	0.0004574694946137052	0.00124912995404517	0.0007197712438169857	0.0007091748967387206	0.00017415441169207904	0.00042053583254590606	0.0010749333618895812	0.0003088613355022936	0.002136952305584481	0.0	0.00018851554465011184	0.00038716952062376484	0.0005837056776781822	0.0005240338955754855	0.0017579394379557943	0.0023357459273654828	0.0003274468347161334	0.00015541961956215238	0.0012399279840050665	0.0006444981316066408	0.0008607180367950356
TINAGL1	0.00017892423105509924	0.0	0.00040208854118111055	0.0018123839488042748	0.0009834071639916167	9.08244758701014e-05	0.0	0.001726904844724277	0.00022934251188556586	0.0021233545819916303	0.00022749461696692342	0.0008431693262662951	0.0	0.0017960235399407916	0.001996609139749849	1.466246695233073e-06	0.00041641915779883895	0.0005785511287000962	0.0020691771778698176	5.086638496967015e-05	0.0011690391687463203	0.0007968234994221577	0.0008466422820584645	6.590115379124083e-05	0.0018991959343376743	1.3012097792593726e-06	0.0008199770834777117	0.0003451079726835595	0.0002898732421774581	0.0012259623529321058	0.0017217501906254232
COL16A1	0.0004363241548332816	0.0003119770063181915	0.00035958034733612055	0.0018875342684779087	0.0006373364255234966	0.00034828542204074463	0.0	0.0	0.0012671961744074364	0.0	0.0016466152958447538	0.0010132963729323089	0.0011692552913869284	0.00034795835290616533	0.0005236981847138648	0.001338243526113049	0.0016703361313833418	0.002225105057602662	0.00011150061297704057	0.0009846566803255411	0.00017471887793966864	0.0010526606765708948	0.00025293512020308607	0.0020687938692688446	0.0	0.001550181058186637	0.0006387809136353929	0.0008225916828584916	0.0	0.00043682514120683703	0.0003147616606867578
HDAC1	0.001177577062689364	0.001344834591235895	0.0012593405337553967	5.2475032100114174e-05	8.891080489626273e-05	0.0	0.0006280074350828119	0.0	0.001369814853889834	0.0016394625606831518	0.0004976648517098911	0.0009131970057977419	0.000726864446499469	0.0016590959148481358	0.0	0.003192638331996593	0.0010101757692816936	0.00048509590846252033	0.0	0.001724364134107162	0.001289129786418577	0.0012458994555144555	0.0003326490337203598	0.0	0.00010479215601174372	0.0	0.0006961871942177615	0.0002678268769730161	0.00045846822942613376	0.0	0.0006716163366920869
RNF19B	0.0011439459579643011	0.0004843568085506829	0.0	0.0005062178236942598	2.6221179368037013e-05	0.00019614057437286004	0.0007211809453268867	0.0003405751369424017	0.0017929439794223075	0.0	0.0005934295171876736	0.00010111934589559749	0.0010584330094668803	0.001982675064119905	0.0	0.0006608385628803213	0.0007190075603668535	0.001278733025658381	0.000939102938767605	0.0012660419169828923	0.00125694819069116	0.000282047544052189	0.0004363624119668674	0.0008785590914587413	0.0024318699863287766	0.001044044533446643	0.0015302062923846064	0.0002351699953493024	0.0004931035072688719	0.0015217509512184119	0.0009644967594446067
CSMD2	0.0005563140046578008	0.0010608841872777333	0.001728726319475577	0.0008045451349782908	0.0	0.0007847066858750337	0.0	0.0013719761573787053	0.0	0.0006260592570787435	0.002339728219154732	4.0292499325133615e-05	0.0	0.00014136062080793955	0.0011443158129022485	0.00048478746213132716	0.0003219927733413057	0.001050647775770075	0.001882900168570959	0.0017334017055132597	0.0	0.0	0.001288706894117469	0.0011960534152760656	8.01962715168216e-05	0.0009450264661984995	0.0017529189254419488	0.000370434460503827	0.00013855493069949711	0.0009802016901369322	0.0009104291966273013
ZMYM1	0.001611256639015359	0.00026219706025646414	0.0006082423264999278	0.0	0.0	0.0	0.0005415908940797688	0.0016753582951463816	0.0017703860381871564	0.0	0.0	0.0017212577915444178	0.0006787174047104979	0.0011422880287650483	2.9085542839662744e-05	0.0018139096224538416	0.003071909142534507	0.0003872657649129725	0.0	0.0007722380184872632	0.001694662858358083	0.0005221938565240087	0.0008581144557290771	1.581848468103306e-07	5.548161621064442e-05	0.001043993463890525	0.0011989872154181363	0.0011672479353837507	0.0006712165339561809	0.0	0.0
NCDN	0.0004661720635016236	0.0	0.0013086116742798161	0.0007313305965987934	0.0021087634631015042	0.0009846134756015116	0.0	0.0011283591015807145	0.0012458793476281137	0.0018583897713259077	0.0	0.0007744299332986262	0.001016923825026151	0.001549843634327424	0.0007386375071641217	0.0002963827605292427	0.00011890234281754636	2.945584269518162e-05	0.0	0.0008655677562547435	0.0007047879303671099	0.0014208702368862865	0.0017838975778349912	0.0	0.0005543902572571047	0.0	4.341317696523269e-06	0.0	0.0015198900579969086	0.0013504492470649814	0.001778911763177895
PSMB2	0.00022375467935262065	0.000360060063013677	0.0010380704771007178	0.001310568321810261	0.0014244295392178102	0.0017853622170022879	0.0008161255501515749	0.00019409059162887096	0.0	0.0	0.00036178514565792625	0.001811242753160067	0.0030455398492185135	0.0009889706022372107	0.00045620226342351754	0.00017791395993416596	0.0006496691132537221	0.0007136253620724936	0.0	0.002227852541562338	0.0014077829607680717	5.975536321418971e-05	0.0006935070785910762	0.0	0.0003345567545973608	0.0	0.0012491270552056858	2.1097548617385663e-05	0.0009730402678897848	0.0005267785641244113	0.00029933967026757774
C1orf216	0.000993793485019446	0.0008638173242794097	0.0	1.577929303940345e-05	0.0005940325313394701	0.002211833761530285	0.0	0.0010939725701050167	0.0009320184494275424	0.0010174319544735476	0.0	0.00045841835350629383	0.0004179016684378223	0.001561207682971245	0.002384374686627231	0.0007209285527832898	0.0	0.0006968982091102897	0.0006817507106822151	0.00036214421996432655	0.0012727008353126484	0.000820444861152408	0.00034384153607537604	0.0	0.0022419714958089873	0.0010021655033495243	0.0004467838215475444	0.00059339999871124	0.0	0.0021146623563694966	0.00011943221338443896
AGO4	0.0013114293051653193	0.0007646962158076385	0.0	0.0	0.00012591385906531794	0.0015089700357009224	0.00024488214078316917	0.001305599591825254	0.001660276724159245	0.0008683294834489315	0.0	0.0003570503578504072	0.0006423632787078478	0.0020644236630343875	0.0008936884344526892	0.0001987659538818073	0.0008431152586224267	0.0012364416085774328	0.0	0.0008146274203000682	0.0015960726284381188	0.0005646342596837423	0.000813704323858113	0.0	0.001349072452854942	0.00010959430926114906	0.001010347984374415	0.001189369180305883	0.0007611775576188636	0.0013943979287080396	0.0007290307843385134
AGO1	0.0020110893697689756	0.0006914326744379724	0.0003712382495184016	0.00041142416230233934	0.00021649225128530283	0.00039598301908293465	0.0003754329563524402	0.001698455804513206	0.002350364792636638	0.00023641305571250987	0.0	0.0	0.0007004636143735577	0.0019506813359961043	0.0009947728014581552	0.0024342806346138897	0.0001056692015308939	0.0001532254670581291	0.0	0.0	0.0007762674042616747	0.0013160948216185866	0.0	0.0015827156909686644	0.000996487909238345	0.0009736798114249162	0.0004098097951293512	0.0004358483068610949	0.0005931922529314037	0.0	0.0003934112557422734
AGO3	0.0019684679566423363	0.0006364272681411983	0.0	0.00014030185647430303	0.0	0.0005984199725286309	0.000986935742661465	0.0007029231627863114	0.002930729828398201	0.0014039639734729041	0.0	0.00011819697779896876	0.0003377961136016608	0.0014090421907192686	0.00039664582404120674	0.001545173222311223	0.0010237819933764031	0.00048514255900795975	0.00036133165743914983	0.0	0.0007174804349596396	0.001304521141776954	0.00020567019699659414	0.0018403934018502476	0.0007390282174595269	0.00027535178584081	0.0001915356850235734	0.0	0.000837614927615699	0.0018329845907057382	0.0008106921795995817
TRAPPC3	0.0	0.0004577311599097541	0.00012472508436166103	0.00022351550758424347	0.0003208783186377304	0.0	0.002239698889335438	0.001675765106235645	0.0007634953960176826	0.0004187373618034285	0.001246222561213594	0.0017834889918436293	0.0008350811958971797	0.00015851096990327195	0.0019268148168858704	0.0008194229354609472	0.001007638017559841	0.0	0.0005262314653178002	0.0	0.0013414959411608331	0.0010190836576571447	0.0014558483722880177	0.00022155065716537772	0.0006096237626566056	0.0018404232926370755	0.0006686859703233143	0.0006634641338937152	0.0011320511471826047	6.876007536842858e-05	0.00045426900129855955
