	S1	S2	S3	S4	S5	S6	S7	S8	S9	S10	S11	S12	S13	S14	S15	S16	S17	S18	S19	S20
EEF1AKMT3	0.0	0.0	0.0	0.0006648050060644292	0.0017749970491352433	0.0008199642130327958	0.003529609649610011	0.0	0.0011376370780364468	0.003950392298167734	0.009837875529097819	0.005544424056460756	0.0	0.0	0.0007619723341511452	0.0013181516352739047	0.002518970881311215	0.0020386983618539767	0.002076935197834546	0.0002612127696994582
RASSF3	0.0	0.0	0.002508875167132322	0.00023425756277526414	0.0	0.004108310936405016	0.003095265861025851	0.0017842458294824773	0.0	0.0031869153877464806	0.004285629961682497	0.0008049650031543497	0.007273135323207779	0.0	0.0	0.0	0.0018452324996304928	0.0007328686315959879	0.0045336034079196735	0.0031085624458053935
GRIP1	0.0	0.0026133299649443924	0.0015097505169744843	0.0009374435057673828	0.0020165685290152303	0.002640700330079574	1.2622569620474899e-05	0.004358362745380743	0.005561964419931526	0.002285253127678815	0.0	0.0	0.0	1.9380599593006282e-05	0.0	0.0023995802325904457	0.0038456210446779163	0.0	0.002845648006591237	0.0036789468598621834
LGR5	0.0013041213320973673	0.0	0.0003068636144912728	0.0003877095623749486	0.0012565616957761466	0.00221830737152975	0.0	0.0034650757403570584	0.004744497288462502	0.001223774069108268	0.006335565576884144	0.00016469007697811366	0.0	0.00155731405367856	0.0	0.0007251980558853938	0.0004498268379452316	0.005826434964590758	0.003492891162808835	0.0039376308904388495
E2F7	0.0	0.00423935395021552	0.0021083468352810107	0.003035659006557244	0.0	0.0	0.0	0.005241590004213398	0.004795273543760603	0.00044140983489742146	0.0	0.0	0.0006588842075934114	0.00404544391411097	0.0006023598678194835	0.0	0.0024937681001927603	0.0014042361454055957	0.0018040574207928647	0.002003911585460748
NTS	0.0	0.0030452423375799593	0.0034176908325403614	0.002445109845241044	0.004263075134845016	0.0007134298821251006	0.0004324998921297782	0.0026429718097891993	0.0	0.0	0.0	0.0016808301479031577	0.00017565430453810548	0.003363303246581313	0.0	0.0003503122833173743	0.0023214676588232904	0.0006068155749921682	0.006112179982856809	0.0010084402686693912
VEZT	0.0	0.0013471119012566958	0.00026355919296258527	0.0012759686232324634	0.0017681936972995561	0.0010456603878801955	0.0007369531401239369	0.0	0.0012341486076469644	0.001062881408690085	0.009650875620270477	0.002926510291261286	0.0035383075496941228	0.00017743527979442123	0.0018483676822475539	0.0006753933829896047	0.0013253049130667561	0.0033119596419680093	0.0021840570719721527	0.0006140588973966772
DRAM1	0.0	0.0	0.0	0.001213539413672126	0.005000673767807917	0.0014096705537809137	0.0	0.0	0.0	0.003514667846131787	0.010009369826151708	0.002136913912735284	0.002585644336919278	0.0	0.0	0.0020285569704396158	0.0003112560764867871	0.003716467914352378	0.0008361128637363406	0.0032506268915472843
MYO1H	0.0015199358739713183	0.0038472704918987204	0.004572967616493367	0.0016693341414417645	0.002079541450674134	7.094546484563965e-05	0.0	0.002900930670702528	0.0	0.0005885907548498593	0.00019431497718288597	0.0007830595432832586	0.0	0.003200900194368831	0.000988301456770695	0.0	0.0033923643848133944	0.002715260155615922	0.001999405351535342	0.0
ANKRD13A	0.0	0.00411272691440675	0.003484245121873029	0.0	0.0010238468403591108	0.0003525538573209256	0.002929635393046857	0.0028705176738732592	0.0006878462623787628	0.0	0.0	0.002026020257195523	0.0024682312613940154	0.003316764224997206	0.001671364798326678	0.003489705341319205	0.0010997137769570033	0.00020680373453417532	0.001967779109212617	0.00027564352596456395
BRAP	0.0	0.004590237551879565	0.0007597586001269552	0.00231511850281015	0.0021715558685774794	0.003658412372104312	0.0005161241681514088	0.0	0.0	0.0007010377303669367	0.0	0.0032837201252745377	0.005580282213702204	0.0003860804169426577	0.0	0.0033997177894182474	0.0011077072130360817	0.0017250010143701308	0.00026239206324379916	0.001331242795865384
ACAD10	0.0006365567367737449	0.0032027546850708984	7.015653177108752e-06	0.0015022659590912437	0.002602989903651719	0.0	0.00048061985738822807	0.004084898441242185	0.0	0.0008327423939676325	0.0	0.006617808713701105	0.0	0.0	0.0034731478694143645	0.0008472996657241563	0.004409425564708628	0.0018693272466329472	0.003946973187674294	0.0
TRIAP1	0.0	0.0	0.0	0.0022269204007832988	0.005827035631767184	0.0026621958018956237	0.0	0.0	0.003888114932799402	0.0005010174497220708	0.005140916949521244	0.004859113811544683	0.0	0.0005912471053981513	0.0036042641597154187	0.0013818911681552184	0.0	0.0028841860066986806	0.00020779181219094693	0.0
OASL	0.0004259749199562666	0.00020451402348341176	0.0	0.002381289496985121	0.005560858479678283	0.005560313602909391	0.0	0.0	0.0011136988317789634	0.0026129973280592704	0.0028722058121734002	0.005261826262416621	0.000685117305125726	0.0	0.001612223668877355	0.0	0.0009952803399373073	0.0023161633172633788	0.0	0.0007818357602816891
AACS	0.005568913089717169	0.0016329275605024378	0.0036964899390400712	0.00037339233224364184	0.002364633184165147	0.0	0.002530403991719636	0.002582321152704804	0.0	0.0004705830115785639	0.0	0.00026525138884190175	0.0005527912838340453	0.0023520364095335694	0.0016485706454963873	0.0	0.0	0.0010848764198041604	0.0019869734906867525	0.0028816013731454266
RAN	0.0	0.0	0.00022236535343264963	0.0	0.003605085182620041	0.003997822405992615	0.0	0.0018182160487043388	0.0	0.0019071294522462912	0.0060489207798375575	0.0036974366851290834	0.0013878063495566622	0.001908490964878455	0.0	0.0011555685500259196	0.004367542665958042	0.0037329978388174288	0.0	0.0035005531670255475
PSPC1	0.005292921391642221	0.0010299448428557222	0.00422937488280995	0.0014695647938126996	0.001959802970008308	0.0	0.0	0.001070148521285513	0.0	0.0	0.0	0.0	0.003525207819698913	0.0042382391638359045	0.002513912697285121	0.0	0.0015013534208811366	0.0006723768681006224	0.003313787162921638	0.00022260030167771134
SKA3	0.0076037640150501224	0.0006753717683209036	0.0020408457343425363	0.0005752762525876609	0.0017954858642221369	0.0	0.005030470553018449	0.0005355532151148323	0.0	0.0009191696787101879	0.0	0.0	0.0	0.001981494476574293	0.0005234029633739024	0.0024442112989602064	0.00036990035590660187	0.0013045375308435045	0.0	0.0034406755192236934
FGF9	0.0061076084818038326	0.0010120319129135842	0.0020371439750272303	0.0004649262068118523	0.0024426996909858553	0.0	0.006002270181662888	0.0	0.0007728756826004635	0.002730693109787281	0.0	0.0	0.0	0.0016152089375988197	0.0010491217926557046	0.003096376281606096	0.0	0.0	0.0018100476335210069	0.0
C1QTNF9	0.0	0.003626918130823641	0.004946824425394439	0.000582659611817769	0.0006576259256672006	0.0	0.0015000986987814785	0.004345437177533086	0.004611535169447521	0.00023592713253232667	0.0	0.0003884598738258283	0.0004000667701724973	0.00298719663273816	0.0	0.0016771050107877916	0.0027739829016427157	0.0	0.00013156301656561126	0.002805908411228705
CENPJ	0.0026446480927098262	0.00230442485319802	0.00301087470473219	0.001206787583040383	0.003292514953153957	0.0	0.0	0.00458511783335338	0.0004049829188340322	0.0	0.0	0.001028418351256849	0.0020007305324647273	0.006295231010283352	0.0	0.0	0.0	0.0018996878744528744	0.0014192927180092497	0.0005681342969439411
MTMR6	0.0	0.002269493248858577	0.0008860636921156868	0.0016912257975085715	0.00031643617842538635	0.00021535016656679302	0.0024130801720697592	0.0071172665922577295	0.0008026675310753693	0.0	0.0	0.0029573306733204235	0.0015700444877665206	0.0018539420497594953	0.0009973822639701786	0.003071777586312792	0.00280679831333493	0.0005963982352131356	0.0029325096170872587	0.00210712193011838
PDS5B	0.0023405701570621685	0.002757420861552319	0.0019756521098022095	0.002832130466527315	0.0025734612051807803	0.0017041810093957755	0.0001144850149655469	0.0	0.0	0.0	0.00016035134727831451	0.0029350452553248622	0.002323547205758208	0.0	0.001017852977162162	0.0	0.005293791664551905	0.0044311746495146465	0.00010010968080898194	0.0013757361017399505
FBXL3	0.0	0.0	0.0	0.001954649672294081	0.0034193685695579363	0.004856248386533669	0.0	0.001291591941488179	0.0023146372959338387	0.0021151303337738417	0.005273698641588819	0.0051066843379239035	0.0	0.00028809474988332234	0.001245616048829668	0.0031847086468904666	0.0	0.0018872151642904127	0.0006189048445594471	0.0
SLAIN1	0.0	0.0006112434732164537	0.0	0.0	0.0025234137693921506	0.00403659683087029	0.001992839361187778	0.0	0.0	0.002453634427399353	0.003749944547046686	0.0	0.004505684131027634	0.00031551206033346945	0.0017817579453703553	0.005764331837697041	0.0023708719800015357	0.0002854847552068132	0.004328271143410534	0.002857389973619593
SLC15A1	0.00017637760666812843	0.004830374435587682	0.0022752955147812767	0.00265111166105854	0.0	0.0	0.0018005541845440539	0.0023532421329656495	0.0008489741650153267	0.0011289784771701017	0.0	0.0029299630989171425	0.002665133473489566	0.0013187805853069315	0.0	0.0006808869238790385	0.003984846486675945	0.0024774902928487177	0.0021170435561121874	0.0
UBAC2	0.004201417376556477	0.0005054397928792831	0.0	0.0	0.0	0.0	0.007366661693465267	0.0015502767215402882	7.498198777859242e-05	0.002525266248161251	0.0013538160226139627	0.0012565964650122718	0.001549639366486408	0.0	0.0014168797365568752	0.002378091313521836	0.006450432487821841	0.0003995178473087637	0.0013421170064870163	0.0022671377963717635
ZIC5	0.0	0.0	0.0	0.0025722573292241467	0.0	0.004751736582279216	0.0	0.0013357095922939893	0.001970516989357322	0.002643287586371196	0.004501985793783103	0.0	0.006569331199990726	0.0018844800566977927	0.0	0.0017685395080031434	0.003893188691100457	0.001970980614215744	0.0018589506467160083	0.0006541108283569229
POGLUT2	0.0	0.0026447886401588247	0.0010627493421491014	0.0012607051503454516	0.004049853591830851	0.0	5.2521493027715646e-05	0.0	0.0015739662217553296	0.0028377447271567204	0.008902310147174963	0.0007454852680521743	0.0013767563687500637	0.0013692759419878446	0.0	0.00027107885512247344	0.0	0.0034309790896953386	0.0017519668142623101	0.0018308664358116333
