	S1	S2	S3	S4	S5	S6	S7	S8	S9	S10	S11	S12	S13	S14	S15
GOLPH3L	0.0	0.007021316806092123	0.0005959628329970172	0.00041101114857276127	0.0009066069609396157	0.0034278428039226723	0.0	1.6325211856988156e-06	0.0016371778557847786	0.001391009071243772	0.004020188372652005	0.00285651574267552	0.0008706388558176343	0.0001663982065655633	0.0032070454289853936
RFX5	0.0002817460277856486	0.0017312497459291045	0.001586565131506856	0.0011016357084039526	0.0	0.00019973938453925923	0.0006570350036636704	0.0037945895983986606	0.003927597332771968	0.0054605454617297775	0.0	0.002086802038938929	0.0025188304932466043	0.0009833096270288697	0.004851202045362323
OAZ3	0.00025331888016391434	0.0013845882531560976	9.05364485157394e-06	0.003851513187190701	0.0022879735768033733	0.0029169250725642887	0.0008051798827244844	0.0016668220949794263	0.002426533755759699	0.00636590168886587	0.0008487081961928937	0.0012575811123061306	0.0008018490759558514	0.0017300250617013793	0.00019576683215134135
LMNA	0.0	0.002896793162929138	0.0033675006066244645	0.0014189000836073579	0.0004630961705185759	0.0018407794250030992	0.0	0.0010061118890223814	0.0007340916349187443	0.004448910703591411	0.0017339486543568924	0.0027665561199306738	0.004225163725188398	0.0013862208742801466	0.0006314330999004794
NES	0.0009669423499418211	3.26563712501577e-05	0.0010028954078006652	0.003084521072789555	0.0017266436455325913	0.0022023237837013395	0.003181283637152825	0.003652831241108576	0.0029071551770963543	0.0033982688720722125	0.000482928223168395	0.0017333860833451216	0.001978707571200776	0.0	6.319069232380259e-05
TMCO1	0.0026118804623137984	0.0	0.0005637350310429844	0.0005320466494260509	0.0034928455360991135	0.0033070437772529833	0.0030213945528074775	0.0005495803843987891	0.0018282459738509693	0.0006185801303912159	0.003972582479152336	0.0	0.00028208369088792063	0.0033746739376022006	0.0032977507732567172
RCSD1	0.001943008344480509	0.0007337028109353004	0.0042417301760450015	0.0009094435697076313	0.004685957484405601	0.0	0.0009568989749566465	0.001193323103739291	0.00469899457140217	0.0	0.00029178678016832956	0.0	0.0013991701009841257	0.0021701730286733567	0.0020981584153328433
SCYL3	0.0	0.0032228241671510517	0.002701179615615581	0.0016491406020941982	0.0	0.002523249518024174	0.0020391765892362125	0.0	0.0	0.00443271879102063	0.003593378423229401	0.002464676618821938	0.0005512758876135488	0.00014413129345624618	0.004367372610408632
ANGPTL1	0.0018352170567081394	0.0011630266079798576	0.0	0.0042166434260472825	0.0016383920766702032	0.0007086364634321928	0.0019457551282514626	0.002182430114388504	0.0	0.0032805986928120877	0.001905330441215223	0.0028210057318828197	0.0022823679205003096	0.0020410354984332878	0.0010999186799599187
PTGS2	0.0027475217248621345	0.002598630950164866	0.005274089798990658	0.0011335596870679034	0.0004492748483058028	0.002049140545989795	0.0	0.0002162672859128179	0.00282978804585994	0.0	0.002520280553716193	0.0016678853206559682	0.0013518180684645375	0.0007756450836577374	0.0
KDM5B	0.0	0.004363809460305057	0.00222807899249495	0.004142335926665523	0.002783560541755015	0.0017495085227353878	0.0	0.0	0.0023760562862702047	0.002432114873513164	0.0017604257249706355	0.00010877310522320813	0.0005112676210479095	0.0017604033820679008	0.0005619329943618784
MRPL55	0.0019186749187879847	0.0	0.0007659701579535954	0.00040565503105373634	0.0	0.0015274506987301498	0.0027299828266523314	0.0019722926626033	0.00431277412158366	0.0	0.004320691310573555	0.001181683925215915	0.003563491161973223	0.0037097876218162512	0.0029034387153194945
KCNK1	0.0003575189166124151	0.0047669694286282946	0.001188970778935044	0.0032632777681456536	0.0012019345451348123	0.0019813630602371676	0.0003894271772957078	0.0011796647372330161	0.0	0.0015337024593434058	0.0	0.0035014033069012576	0.0005157971473814956	0.001595612610789571	0.006111740154746485
WDR64	0.0	0.003913956021998731	0.0009126257379189048	0.00311933540093535	0.0017197493455243184	0.003331963324366768	0.0	0.001098824188031521	0.003963532482656513	0.0041434638140253974	0.0006494118606736462	0.0	0.0007137404698099208	0.0015323878520400785	0.0006693828608181702
SNTG2	0.0026321907733682973	0.002476353632912268	0.0007700265899296216	0.005208072340077073	0.0	0.00088109810750011	0.0014496659500307498	0.0030455449962902194	0.0	0.0017629399949865264	0.0017020194028651695	0.0	0.0006787464588623381	0.004299019130237229	0.0003620958617748288
KLF11	0.0	0.0011168513151747427	0.0	0.0025646417689636504	0.0020342291049995505	0.002431634385300285	0.0044647163267242974	2.5832536780846723e-05	0.002694972133238804	0.004387586558616589	0.00171225323087354	0.001009324158607587	0.0009011094651928693	0.0015993160893794992	0.0036918664958385727
GREB1	0.003287501795388771	0.0	0.0	0.0010003723906406676	0.0010180264162520897	0.0021155993007806635	0.004205918215987482	0.0020681338616296615	0.0020915042133692785	0.0011281305777441537	0.0021311543213490625	0.005394087722372909	0.0010523302103211298	0.0	0.0016785255705099081
NTSR2	0.0017862206480106712	0.00043606260106317804	0.0019428411558508913	0.0032587354663011904	0.0013066240053595873	0.0012953098917906811	0.002988530406565291	0.004757912969264326	0.0	0.0	0.0012974755176940107	0.0	0.0015464679412126097	0.0028042182421521003	0.0036551576968838653
CENPO	0.0017551506164505668	0.0029219431796774337	0.0	0.00036533853147092173	0.0012036070205386673	0.0028403533570602675	0.0	0.00601760055541837	0.0024710819786139698	0.003761171981916954	0.0023696802609578516	0.00022902741729775665	0.0009369735531276269	0.0009914462945997129	0.0
ADGRF3	0.0010224484554960081	0.002937371284446599	0.0009856890531541856	0.0008324651051224768	0.0017245027445795499	0.0014345970308952164	0.003724155671774821	0.0025380612132497754	0.002080594421002982	0.0031391919307966814	0.0012256350042731707	0.0009120170003272368	0.0007663258972035046	0.0	0.003440109735795577
FAM166C	0.0038305306378701087	0.0019853029907626624	0.0	6.734291626654408e-05	0.0	0.005993949201246717	0.0	0.00233475860156018	0.0	0.0025435808490589526	0.001423027246222849	0.005397695539898746	0.001632254628914943	0.0	0.0010988818000971855
KRTCAP3	0.000391880841885223	0.006806634531097659	0.0024622252821658434	0.0023821298520843017	0.0	0.0009351067606490202	0.0	0.0002669048504701183	0.0035530250760005184	0.001714745647855611	0.0017182355399259347	0.001850055757905353	0.00028701382659466644	0.0010423717531045614	0.0009626408501052678
TOGARAM2	0.0033739772342263954	0.0022690115357320716	0.002178119766046904	0.0	0.0021398013731930765	0.001933241101564248	0.0018817897546173066	0.003366701910129983	0.0	0.00045912389293922715	0.0021966762930242497	0.0036170961378378954	0.0008481881278291214	0.0	0.0
PKDCC	0.0022084591439920495	0.0024315572860775414	0.0	0.0017726171492947604	0.0005629655148339496	0.0011628405495237393	0.0018340769931457993	0.004900303165070746	0.0002622907267495766	0.0044399967578795515	0.0003349020713204966	0.0029005196918105865	0.0020361965323036227	0.00037370227895853114	0.0011827807786927579
HAAO	0.0003435597533952117	0.005854357189272343	0.00063659327551175	0.0003695572463931728	0.0011626447378436612	0.0013825951039932772	0.0019353514705716425	0.003375318806716882	0.0009773399252711297	0.001007514573779527	0.0017949908188817532	0.004055903364475772	0.0005252325505265393	0.001195175032109246	0.001210780323096541
DYNC2LI1	0.0001120778839722915	0.005177526556256075	0.0	0.003091472909254689	0.0037258582744233806	0.0023182306190440557	0.0007944390167215414	0.0	0.0029174965546115463	0.0014283872343878647	0.0	0.0012280910101468403	7.8489782966638e-06	0.002299400150143015	0.0029163925783080784
ABCG5	0.0020603968660759444	0.0018640468377092636	0.0036132121209754473	0.0021920250138440923	0.001144020540689082	0.0038175558867204634	0.0	0.0004562738796580701	0.0	0.0005654419660532922	0.005055717259685694	0.0008865206802527932	0.001560062828199759	0.0	0.0020162091285405226
CFAP36	0.003077511604314998	0.0015786670612121046	0.002374853446432964	0.0	0.001022270721442787	0.0010508546961491172	0.00034737911464833546	0.0009510061239137582	0.006616071022305098	0.0005342009229160987	0.0038303721332287113	0.0013233201369477754	0.0009650588290489832	0.0010776861229993457	0.0008377380283859647
NFU1	0.0	0.001055708122024143	0.00046338367435920627	0.0036554328226575056	0.0026110259915500126	0.0006986404248558233	0.0025703681182477327	0.0010140483981676825	0.0	0.003021451766465528	0.0012119633755505825	0.004303328937862067	0.004915504519549243	0.00026794121364007324	0.002843434646147757
TLX2	0.004270922277311991	0.0013774508386534615	0.0001376226838474037	0.001089584695006622	0.0037808774689801973	0.0015905771543547212	0.0028834141202142326	0.0018038208336248343	0.0003629752513501581	0.0	0.0018057398100709114	0.0007859847038543355	0.0013183763238733244	0.00312147032780052	0.0006982773671576021
AUP1	0.0013043970110518184	0.0014670784700841519	0.0009465004328651599	0.0031115666261738594	0.0	0.0	0.00335931069101559	0.002298928351169897	1.7336060006925662e-05	0.003606333768116391	0.000716018312915511	0.0022153786153692777	0.004826331955155384	0.001017834637932613	0.003333537412802043
TACR1	0.0012069970340049892	0.0011661097069238168	0.003698498043107183	0.0008055324223380023	0.003157746163237972	0.0036117507596731724	0.0016090674718064481	0.0	0.005750712100341999	0.0	0.0010136224727464462	0.0001925316753885791	0.0	0.0026592026090480527	0.0002651986580955812
RNF181	0.001421219779704277	0.003152225625277861	0.0006940437550555325	0.001332619541995498	0.0012267271263019107	0.00707674457069268	0.0002275087975941085	0.0016096053914294874	0.0	0.0022116898513478114	0.0	0.0018477570176867473	0.0011528666672435902	0.002779355270342026	0.0014025694761774447
PTCD3	0.0038256929336320986	0.0007341303415332295	0.0015826725601976747	0.0022166489091637737	0.003178631978526705	0.002767149850685575	0.0012915755294200405	0.0006032237154025285	0.002262665218699095	0.0	0.0013419736202213521	0.0	0.0013095909115902673	0.0022031112807622665	0.0018696622271068917
INPP4A	0.0	0.0015674111488515876	0.0005630503119511919	0.0030203655165764644	0.0	0.0018332554446835283	0.0007986230422980588	0.004996578035960855	0.0017535699637506947	0.0026672618365903185	0.0015597717581778928	0.0027835983089092397	0.00118443744428385	0.0049326630574449675	0.000692099431071514
IL1R2	0.0	0.0051496664743547	0.0009083462110683323	0.0038999692607935895	0.0026707919435948802	0.0035050546760426117	0.0006655840315843056	0.0	0.0	0.0011447939180243994	0.0012054192793469938	0.0018096392252173903	0.0013381003052533702	0.002344077010036963	0.0004580782530558551
NPHP1	0.0010122032786067784	0.003941887280238822	0.0015613052919526379	0.0007316143438790058	0.001851951494239744	0.0026316686151092988	0.0	0.0038401261707231168	0.001563684595339573	0.003509194061045632	0.0011392042362820887	0.000610182120825647	0.0005042095084779495	0.002252936601379147	0.0
IL1A	0.0015094754925100075	0.001487108044857913	0.00035835630578607517	0.0011318097341792134	0.00329750557651367	0.0020846909227547005	0.0	0.002621356796759571	0.0	0.0030931031151223906	0.00346862121256611	0.002460548310189245	0.0017061913191019353	0.002707657337672241	0.0014717765288685184
TMEM185B	0.0028480266444916194	0.0002921721979132391	0.0022686782077315924	0.0	0.0001282514691652277	0.0013607368947157296	0.002818488194189839	0.0023808384926862726	0.003302236630532883	0.000800797018117565	0.004792092887104361	0.003493657772944173	0.001884111506360254	0.0	0.0
CYTIP	0.001889587091583976	0.0011003907644057925	0.0015682560958468067	0.002725054244556411	0.0	0.0017565902037024318	0.0048083022550706005	0.001963195395697167	0.002248783493209712	0.0001528432534706321	0.001833037452946891	0.0018612917966830574	0.002171165293259583	0.0	0.002278938048447502
SLC4A10	0.0014376589938554978	0.0	0.005560473830359829	0.0006533500067716089	0.00382934996013354	0.0018879601272680697	0.0	0.0	5.9789699796930445e-05	0.0010346721354017093	0.0011065196747102647	0.002005458115903909	0.0033902353585408	0.002888195565999065	0.0027154502594754436
DLX1	0.0	0.0034265661623039327	0.0009886677988205047	0.004230787204089936	0.001087480671240699	0.003090297151288548	0.0	0.0	0.0013763748052848831	0.0024280764070666334	0.001156220747570104	0.0016241583788993838	0.003903800615091964	0.0016610463578105568	0.0022020467466813483
FKBP7	0.0013159562577426073	0.001520825693063027	0.0	0.003312424621270469	0.000591780290209675	0.0007845351731914828	0.0012372484693250094	0.002277484824613981	0.0015323532028276448	0.004108077588431246	0.0	0.0033391198457507977	0.0015311216824179068	0.003730981345084562	0.003488668578279112
SF3B1	0.003710443144884419	0.00267685001778568	0.00019541395651629403	0.0022413670775636905	0.003276110409277598	0.0024515444753712323	0.0008045775157800374	0.0	0.002251024639528069	0.0	0.0018837237136142113	0.0	0.0020779100380276354	0.002392232416619083	0.0009316740176063928
PLCL1	0.0011566896254403222	0.0	0.0	0.0025873013418259306	0.002515664975094964	0.0010744701020554024	0.006138328207909725	0.0020612489344406983	0.002093855258281141	0.0	0.0009941951696953001	0.004085414648453681	0.0015767245435933052	0.0013524565194225208	0.002204952604749264
