	S1	S2	S3	S4	S5	S6	S7	S8	S9	S10	S11	S12	S13	S14	S15	S16	S17
NES	0.00023244427750644694	0.0003752081207428983	0.00034472852943533415	0.0007459927916593987	0.004692955461247167	0.0020093184946537264	0.0038064710681660723	0.002430385778612589	0.0027942352820887603	0.004575430339216427	0.0	0.0012856588849606441	0.004302467775933762	0.00019002465026339959	0.0014761365204256117	0.0	0.0006380815171227913
TMCO1	0.0028723417461649857	0.0007951224050559585	0.0	0.00032599544738038587	0.0025706364893797054	0.002719624104028407	0.0033522636412945048	0.0	0.0026210715493174817	0.0	0.004422236457043859	0.002437454719115054	0.0	0.0	0.0006182133569075843	0.004242249262128819	0.0045660574217567616
RCSD1	0.0019886964128233674	0.000573548071073605	0.0037209881135550986	0.0008393647871867715	0.00018626474186590747	0.006672048086920067	0.0	0.001030947211994729	0.006880848144584198	0.0	0.0	0.0	0.0005477604695454622	0.0	0.0016367226625118455	0.0026914197842494657	0.0025372761354630112
SCYL3	0.0	0.004735167468698244	0.0031804853257863196	0.0013345293330916323	0.001656405726368338	0.00016897864925479933	0.0013229281174588947	0.0	0.0	0.005238285758919445	0.0044502532027522095	0.0	0.0	0.004928902962373767	0.0012495596916784334	6.976990288975283e-05	0.0027503112594378953
ANGPTL1	0.0019109696969045848	0.002444132670507699	0.0	0.003446020296907091	0.0025503093732939333	0.0	0.00038906369136684505	0.0015353823512671923	0.0	0.00415574236982529	0.0024898193855877092	0.0034010105597478885	0.002008367315870942	0.0	0.0031538250096437093	0.0015239486424164525	0.0010576682891742745
PTGS2	0.0020435198860006606	0.0	0.0057133048200233095	0.0008152795069892847	0.0	0.003959474587478104	0.0025887092177145432	0.0023947641399362264	0.0027339865034766526	0.0	0.0017452289382749264	0.0017012986930290555	0.0013118485126917302	0.002265924587324285	0.0	0.0002606485642702388	0.0
KDM5B	0.0	0.00337865604787642	0.001826789998762222	0.003765811157735288	0.0	0.0047227027439639595	0.0013318031877392418	0.005243618949910367	0.0002911132318547869	0.0027971982628243208	0.00213399122384115	0.0010550443766234822	0.0	0.0	0.0009730248744942743	0.0009910485267817812	0.0
MRPL55	0.0023595476998275627	0.0	0.0	0.0008450072219454826	0.0029363997181556757	0.0	0.0007602084444271424	0.002457599265440108	0.005260885714495587	0.0	0.0037898654080555476	0.0	0.0015369641048321675	0.0031551499240638557	0.0032464281537839053	0.0036554018854482425	0.0029252508295062123
KCNK1	0.00024169205824924877	0.005894288148352794	0.002730671350361664	0.005105580927068717	0.0	0.0	0.0007678828615902675	2.2096284028748217e-05	0.0	0.003105257301072185	0.0	0.0015786253819399815	0.0001673942794813137	0.0018201711786821292	0.002701580744238896	0.0016910162892901045	0.005676817636888014
WDR64	0.0	0.004427571333262597	0.0006183745893138326	0.0023989467855766384	0.0	0.0014421159584950799	0.00347899915963002	0.006376273917058343	0.0027247617942403385	0.004090533635850462	0.000391388109359476	0.0002878914418407117	0.0009156067436781788	0.0	0.0005546726032408484	0.0005845346923394061	0.001361721226962047
SNTG2	0.0021174451102794526	0.0017056823122898245	0.0005705492144014401	0.004509730588151557	0.003006275463360297	0.001948335688221989	0.0008796701080013622	0.0015912142266593942	0.0	0.0016971379920801913	0.001723044329630338	0.0	0.003479928259352269	0.0	0.0	0.004874849370619959	0.0006773777031765741
