	S1	S2	S3	S4	S5	S6	S7	S8	S9	S10	S11	S12	S13	S14	S15	S16	S17	S18	S19	S20	S21	S22	S23	S24	S25	S26	S27	S28	S29	S30	S31	S32	S33	S34
NDUFA10	0.0004860585608883934	0.000930394376236749	0.0029105010579813326	0.0	0.0	0.0014003767867864915	0.0	0.0	0.001774872747353772	0.0	0.001077046936831617	0.0003046642459592298	0.0006989715212987208	0.0009435166992937752	0.00021503301657690876	0.0	0.0012326524402438976	0.0	0.0011727090996605113	0.0	0.00035590157972669866	0.0006116435495165384	5.637533302089067e-05	0.0011929154077188176	0.001282834936572201	0.0020438111833557654	0.001527461268318611	0.0	0.0	0.0013790517080272135	0.0020316154365915807	0.0016127844094021239	0.001747010713540596	0.0007789087489016437
OTOS	0.0007684986028335852	0.0	0.00029002343465809455	0.0006521385574645988	0.0	0.0008711143847390391	0.0011995554402405783	0.0	2.3195310182584977e-05	0.00017254445525234513	0.0020824821686978396	0.0010220714952519207	0.0	0.0015163240073245562	0.0	0.00037287087632398975	0.0002383866017742254	0.0024228914742219364	0.0	0.0008836828575279835	0.00029483583290095477	0.0007854662203222103	0.0	0.0006901357856424914	0.001458963449838683	0.0005568223468961178	0.0014447957569700244	0.0018714510348157667	0.002222321684389278	0.0009658350306556074	0.0012307480959203834	0.0011561630446301114	0.0023082600035693934	0.0016173689749927314
RNPEPL1	0.0	0.0022720546699317567	0.0	0.0005285078163457093	5.8051337740571306e-05	0.00033243533855331387	0.0012114704761964777	2.7415823637384658e-05	0.000864770640874953	0.002753689359448627	0.0015645280644379846	0.0	0.002248743154196902	0.0	0.0004883304459309108	0.0015477949428664808	6.3967743302035e-05	0.00012583992955789676	8.965467634456439e-05	0.0020888403194163374	0.0013174496145923057	6.944394690529398e-05	0.00022700453785546123	0.0004391353342856616	0.0004815680776128348	0.0	0.0006518866620942787	0.0018428291941280893	0.0016789294466118393	0.00037321247560047246	0.0007622876187947518	0.0008374009017645242	0.00014321756484941096	0.00023609753378505644
KIF1A	0.0	0.0026602402743989887	0.0011807514100837797	0.0	0.00021685174530503538	0.0001423595113293312	0.001679784716693162	0.0	0.0008682821231957685	0.0010522233761968765	0.0010660793386596356	0.0005738113541723372	0.0029873726596750245	0.0013163627320569688	0.0002179040648326714	0.0	0.0007763742648971045	0.0	0.0014286468300134358	0.0002691323541155676	0.0	0.0001568205216351293	0.0	0.00035354909136914195	0.002041993465689806	0.0025404269945735847	0.00019153097769571023	0.0004584703854838907	0.0005295313167312969	0.0	0.0004594604925880911	0.0016333247270831253	0.00014179718606000235	0.000666981124221497
PASK	0.00012744547207667534	0.001992789731134456	0.0	0.0	0.0	0.00033210062426143556	0.0015313194832145046	0.0	0.0	0.0026524445006211924	0.0013794047448628668	0.0	0.0015697491976677878	0.0	2.928199923723806e-05	7.857759991803698e-05	0.0023551327895756373	0.0020100845694482434	0.0	0.0	0.0003480512642749728	0.0008159619470321585	7.344325635550889e-05	0.001483198140155004	0.0008231126581960708	0.0015441635977139156	0.0010112891948509605	0.001521189469340746	0.0009468402878444633	0.0012280233897196957	0.0018376067745178475	0.00018018425142304702	0.0	0.0
ANO7	0.001453829260770153	0.0	0.0025759309708961696	0.0005717713794617946	0.0017257083758199718	0.0004846067785697836	0.001525325347702986	0.0012155044753971625	0.0	0.0	0.0	0.0016339364909690125	0.0006833502782500405	0.0006274730232942676	0.00020891024737966716	0.0	0.00031012640258761557	0.0	0.001353246578004295	0.0006019617554475147	0.0011766094397364143	0.0	0.0012536331636587622	0.0006841410533874851	0.001923244911708739	0.0006735511253500438	3.416830968056239e-05	0.0	0.0	0.0009596319076214504	0.0005083454191004765	0.0013319553850901953	0.0012513588743918729	0.0009366619583582284
SUMF1	0.002080555974494177	1.656618310095369e-05	0.0006730745875823222	1.6997359746042665e-05	0.0008311956704217255	0.0	0.0030540856096677774	9.53826388513628e-05	0.0	0.00010939266296984088	0.0003788770148883529	0.0006689371998236781	0.0012866511050193647	0.0006555041396991517	0.0	0.0	0.0006458580129365774	0.00016172257961270364	0.00014936865391233147	0.0009816979555623336	0.0013926648095821726	0.0009821889261345366	0.0010087969136711257	2.2104981763337487e-05	0.002450901846043095	0.0026929401414976972	0.00021341224202235025	0.0	0.001012995007849104	0.0	0.0006528621793177106	0.001815443140724802	0.0017423963297929234	0.0017323455192436842
ATG7	0.0015690163518210754	0.0	0.00018349458410534756	0.00034009390823331546	0.0014408895805005312	0.0	0.0018255135059088356	0.000116194594832801	0.0	0.0013019182130011987	0.00016280079584419558	0.0009957159108537688	0.0009210078991109042	0.002242932676526053	0.0014111593562925327	0.0	0.0	0.0	0.0006638675162826074	0.0010318402759876616	0.0003166471834869238	0.00018114063246360074	0.001250247858467466	0.00018705559379141666	0.0027431327852843876	0.0027157498017544236	0.0	0.0001924255882869497	0.0010358138180801052	0.0	0.0	0.0017776142816517619	0.0017694308077396725	0.0007825531235441521
TSEN2	0.0	0.001245147996437817	0.0040091205162535335	1.4250380386248158e-05	0.001393446351936538	0.0	0.0016763886255104945	0.0	0.001523814373052807	0.00017189033163219174	0.0	0.0002776380487694017	0.0016552693177942527	0.0	0.0008745992554219656	0.0007064922618027281	0.0	0.0	0.002807247063963081	0.0009840241054261455	0.00047815663824351927	0.0005981117004305743	0.00019920495251942813	0.0001607653092296668	0.0005798167576085213	0.0002526130224254907	0.0013115136783479159	0.0	0.0	0.0007612770755235299	0.0005439221098449946	0.0014355793203718866	0.0008771806033370578	0.0012133476298420097
IQSEC1	0.0014310967238964749	0.0	0.0	0.0008754350591301995	0.001117901614607312	0.0	0.0033361761420552328	0.0006065009329296394	1.6426247444969434e-05	0.0	0.0	0.0015763594524291849	0.0015237910742408654	0.00011158669172259825	0.002598805281718635	0.00046610813398963435	0.0	0.0	0.0013441251281303827	0.0	0.0007256589668507953	0.0004543854484113927	0.00045115006903287413	0.0009388628275060484	0.0015725563554570678	0.001964894712016314	0.0	0.0	0.0009843230404101683	0.0	0.0	0.002266380180395004	0.0015453896017912575	0.0014218412019323444
FBLN2	0.0017533961245920632	0.0	0.001952215681327092	0.001504976084624375	0.0009005665384136344	0.0	0.0028053609712816734	0.0008493063152331712	0.00037337777962678244	0.00012523477292590207	0.0	0.0	0.0	0.0006563820469900228	0.0019535663877749115	0.000278936304228641	0.0	0.0	0.0009923521813049246	0.0007617951097792033	0.0014237330829315576	0.0016615461081633494	0.0010413717866241071	0.0	0.00047251828808024386	0.0008664955464084832	0.0	0.0	0.00036228413339385075	0.0	0.0016254637553924868	0.0009156584704751719	0.000980358453231441	0.0014671211275429793
PP2D1	0.0	0.002296373043796054	8.117825573170266e-05	0.0	0.001743147099339918	0.0	0.0036060317155242948	5.796614648274394e-05	0.00020443468946445322	0.0010158149891979923	0.0008823479633106116	0.0	0.0018546916248632476	0.0004993053958140308	0.0	0.0017511194591699015	0.0005056390018719274	0.0015016846220407376	0.0	0.0	0.0014016166206171268	0.0003972483748717211	0.00012108707915408795	0.0	0.0021764801014864145	0.0007664223326891526	0.0015324372792309357	0.0003147036902389586	0.00032411037024636206	0.0004314337150765886	0.0002226931057057688	0.00048576818245741303	0.00042995139434940386	0.000582559232305914
RBMS3	0.0013246605860615863	0.0	0.0035659189208937943	0.0010626515238152901	0.001224259021918043	0.0	0.0006785165869469832	0.001308720343837555	0.00016210345425610856	0.0030243226380375055	0.0	4.711254504882605e-05	0.0	0.0014516835646427818	0.0007825919282248696	0.0	0.0	0.0	0.00124026200447726	0.0015297959365264872	0.0013872478970813704	0.00024458127949465703	0.0016096983322046044	0.0	0.0	0.0	0.0006802219008015393	0.0	8.718035888490673e-05	0.0	0.0010514180960602723	0.0	0.0009248281220563546	0.00042087042804404026
TGFBR2	0.0013047873164765001	0.00013074105280124645	0.0	4.394540741791994e-05	0.0024886618971754304	0.0007341275935121664	0.001243029721888278	0.0	0.000503440343088905	0.00010830710035161367	0.00028122693283553715	0.0016909873468827314	0.0008793854030864284	0.00047402652476628707	0.001483554085560011	0.0001266192598012628	0.0	0.0	0.002511275601401785	0.0012070935901002558	0.002249370966760446	0.0005345302745127503	0.00020806177733787823	0.00029601546421897945	0.000541522495085939	0.0011905657482602695	0.0018479472114387087	0.0005603401329832277	3.1818292717527354e-05	0.0002947626183864887	0.0007159284623855787	0.0015889093072396332	0.0	0.0003676425843673219
CNOT10	0.0014241724156289289	0.0	0.0	0.0014833739179487993	0.0005442829759261128	0.001138231133780592	0.0007775000816906077	0.0019007363802136224	0.0019799077111642385	0.0001907213328427378	0.0009575017141945309	0.0005188694299496579	0.0	0.001185617928895419	0.0012165191132848426	0.0006358150326556529	0.0	0.0	0.0	0.0025314378481945355	0.0008599045238408612	0.0	0.0	0.0011815842197354569	0.000787253784945583	0.00012895518883984566	0.00040974611881900515	0.0003130476242757509	0.0030637707738120955	0.00014834084055772044	0.0	0.0	0.0012542290591845736	0.0012444992026797203
PLCD1	0.0	0.0014074758967699886	0.0019927713569710295	0.0009831864142490513	0.0	0.0021849433039419185	0.0	0.0007878219137061744	0.0027118501909941424	0.0012067154649180883	0.00010654128118816145	0.0018108495538168908	0.0005608472430031886	0.0005857179235709323	0.000355900743039619	0.0	0.0	0.0	0.0013041223032420016	0.0009112014855831462	0.0	0.0	0.0006305780964044505	0.0015092909168607136	0.0	0.0014120090984880208	0.0014697341260634738	0.00013425417719912445	0.0015574543760339926	0.0	0.00023411375603226843	0.0	0.0005301907824164293	0.00044717750408031426
TTC21A	0.0	0.0015972784701574732	0.0	0.0	0.0	0.001031122051450186	0.0006351305778248801	0.0007920398230512006	0.00015955697292948306	0.0021995149422648227	0.001970988321587969	0.0	0.0012244586397145063	0.0	0.0	0.0016431109555358713	0.0007409374467727293	0.0019027550631821148	0.000391570971848317	0.00020184226078796358	0.00028143847483794903	0.0009438098794491041	0.0	0.0010052882292505023	0.0008292524274471787	0.0017846062410023296	0.0020130843268811043	0.0014475987388580362	0.001337093891892969	0.0013272437695968657	0.00023724071164958567	0.00018541365320047366	3.515657212309953e-05	0.0
ENTPD3	0.0016224989715247656	0.0	0.0	0.0012589709541673856	0.0007260510016931076	0.0005108480397956432	0.0	0.0005138392867734368	0.0	0.0	0.0015498566399677382	0.0012617837619199647	0.0029869539294223673	0.0016644754438322484	0.00034843067965423626	0.0	0.0007640501249754044	0.0021433704220824236	0.0010093829561665724	0.0018164516756970118	0.0006204835643953602	0.0007928310832720037	0.0013276905663763183	7.42032072930753e-05	0.0008529045599132031	0.00013194775611470315	0.0	0.001443035094739008	9.193412395536517e-05	0.0	0.0	0.0005685383617981216	0.0	0.0010702709821095865
SEC22C	0.0017509756604669603	0.0008501783878217601	0.0	0.0007374060769817821	0.00043042419926838017	0.0015590919974544169	2.9650860028210217e-05	8.787307128480255e-06	0.0	0.0013421662179727693	0.0	0.0009064129204548261	0.0012514943824031423	0.002650916779346545	0.00042117911407809147	0.0011425683098592022	0.0010733590438589855	0.0019879101838223955	0.00045436830101864656	0.0010853268868760899	0.001153862904881026	0.00012940605618334483	0.00010586077260763585	0.0	0.0007757463815038602	0.0013111178142417282	0.0	0.0	0.0	0.000939374128621254	0.0014046240696179782	0.0013736968631334523	4.706149273394565e-05	0.0
ZNF35	0.0007367294460763776	0.00037029737456615805	0.0017643810112249606	0.0018564569254237743	0.003268407379963505	0.0	0.0013643316149011802	0.00043926765866373154	0.0	0.0007196486097197269	0.0	0.0005135815751764424	0.00030048475955806353	0.002107515662626708	8.210577659322837e-06	0.0015264799028900807	0.0002626158709126638	0.0005671787808715301	0.000527542492888159	0.0015646133447085897	0.001139282024314359	0.0004451693779617693	0.0011205694523618438	0.0	0.00028016781463837884	0.0	0.0	0.0009848067446822535	0.0	0.000489005959892214	0.0005617384231005906	0.00011197555289665211	0.00023934381299951186	0.0007771384189552873
SACM1L	0.0	0.0007042608873975458	0.00040886813325061573	0.0	0.0	0.00045590630642769014	0.0	9.670665089320663e-05	0.0014600369889518456	0.0012684678838326563	0.002170539967199597	0.0	0.0006686875545733396	0.0	0.0	0.0010846675784018853	0.002638649798760121	0.0019848332107198995	0.0002680414896634639	0.0	0.0007726080089771173	0.0003268471048598206	3.554949385943425e-05	0.0018366734066108663	0.0004237499441619268	0.0010014022449645228	0.0022729771370903124	0.001041784142463091	0.0010701278731888773	0.001843241410108972	0.0014593994254273057	0.0	0.0021769091705829036	0.0007293952524682223
CCDC12	0.0	0.0019076875688999774	0.0	0.0	0.0	0.0002078674586873416	0.0002029025580898233	0.00032632360805763387	0.00017159560254906	0.001227070660228963	0.0020344097038956614	0.0	0.0006832401298396873	0.0	0.0	0.001970011746540869	0.002522252863247651	0.001967625650640046	0.0004764274509357239	8.904038016098161e-05	0.0004753413509790208	0.0007479422762792841	0.000635919594108204	0.0014846815346123764	0.0005833220002897416	0.0009986216640256508	0.0016341129242165347	0.0013058015199728043	0.0008687145779805778	0.0017780102502096809	0.000884920334381976	0.001495218180965617	0.00037006375284574534	0.0
PTPN23	0.0011419760941080827	0.0	0.0009836772506607665	0.0016112827511879906	0.0025380488163199853	0.0004168110395893236	0.00011301778462807187	0.0005311992110084349	0.001479433362866526	6.525444158765577e-05	0.0	0.001997218153341359	7.437813422308889e-05	0.0003608835208960435	0.0027778226753022535	0.0003241512660563527	0.0	0.0	0.0006569431382465562	0.0016523986606041567	0.0012720415432970987	0.0006201423181374307	0.0016267349012358706	0.00035858519514033875	0.0	0.0008894843272332459	0.0	0.0	0.0009498347832142883	0.00020532276617987104	0.0	0.00042375496649518633	0.000697424376074528	0.001729966290293304
